UDI,Target,Product,type,Air,Process,Rotationa2,Torque,Too2
237,0,247416,2,298.1,308.3,1495,38.7,188
238,0,115097,1,298,308.1,1552,36.6,190
239,0,247418,2,297.9,308.1,1393,50.3,193
240,0,247419,2,298,308.2,1611,30.6,195
241,0,115100,1,298,308.1,1339,51.6,197
242,0,247421,2,298,308.1,1777,24.3,200
243,1,247422,2,298,308.2,1348,58.8,202
244,0,247423,2,298,308.2,1442,44.1,204
245,0,115104,1,298,308.2,1395,49.1,206
246,0,115105,1,297.9,308.1,1627,31.4,209
247,0,247426,2,297.9,308.1,1585,33.5,212
248,0,247427,2,298,308.2,1469,45.5,214
249,1,247428,2,298,308.3,1362,56.8,216
250,1,247429,2,298,308.3,1405,56.2,218
251,0,247430,2,298,308.3,1662,32.7,0
252,0,115111,1,298,308.2,1466,42.6,2
253,0,247432,2,298,308.2,1620,35.8,5
254,0,247433,2,298,308.2,1357,48.2,7
255,0,247434,2,298,308.2,1514,37.9,9
256,0,247435,2,298,308.2,1489,40.4,11
257,0,247436,2,298.1,308.3,1331,63,13
258,0,247437,2,298,308,1615,29.5,15
259,0,247438,2,298.1,308.2,1482,37.9,17
260,1,115119,1,298.1,308.2,1420,63.9,19
261,0,115120,1,298.2,308.3,1522,49.1,22
262,0,247441,2,298.1,308.2,1654,32.1,25
263,0,115122,1,298.1,308.2,1736,26.8,27
264,0,115123,1,298,308.1,1587,32.3,30
265,0,247444,2,298.1,308.2,1390,47.5,33
266,0,247445,2,298,308.1,1454,37.1,35
267,0,329680,3,298,308.1,1440,43.7,37
268,0,247447,2,297.9,308,1954,21.1,42
269,0,329682,3,297.9,308,1800,24.8,44
270,0,247449,2,298,308,1524,37,49
271,0,329684,3,298,308,1520,39.6,51
272,0,115131,1,298.1,308.1,1452,40.8,56
273,0,247452,2,298.1,308.1,1484,40.4,59
274,0,247453,2,298.1,308,1426,46,61
275,0,247454,2,298.1,308,1652,28.5,63
276,0,247455,2,298,308,1401,54.7,65
277,0,115136,1,298,307.9,1750,26.6,67
278,0,329691,3,298,308,1479,50.7,70
279,0,115138,1,298,308,1620,29.4,75
280,0,247459,2,298,308.1,1819,23.4,78
281,0,115140,1,298.1,308.1,1456,43.7,80
282,0,247461,2,298.1,308,1626,36.5,83
283,0,115142,1,298.1,308.1,1390,49.8,85
284,0,247463,2,298.2,308.2,1469,43,88
285,0,247464,2,298.2,308.3,2051,19.2,90
286,0,247465,2,298.2,308.3,1568,36,92
287,0,247466,2,298.2,308.3,1589,33.2,94
288,0,247467,2,298.2,308.3,1805,31.6,96
289,0,329702,3,298.2,308.4,1385,42.2,98
290,0,247469,2,298.1,308.4,1436,46.7,103
291,0,247470,2,298.1,308.4,1438,45.6,105
292,0,247471,2,298,308.3,1473,42.6,107
293,0,247472,2,298.1,308.4,1335,40.2,109
294,0,329707,3,298.1,308.5,1392,44.8,111
295,0,115154,1,298.1,308.5,1372,51.1,116
296,0,115155,1,298.1,308.6,1716,30.7,119
297,0,247476,2,298,308.5,1395,46.2,122
298,0,247477,2,298,308.5,1713,25.3,124
299,0,329712,3,297.9,308.5,2129,18.7,126
300,0,115159,1,297.8,308.3,1567,35.6,131
301,0,247480,2,297.8,308.4,1622,38.3,134
302,0,247481,2,297.7,308.4,1740,27.1,136
303,0,329716,3,297.8,308.4,1512,35.1,138
304,0,115163,1,297.8,308.4,1479,43.5,143
305,0,247484,2,297.8,308.4,1737,27.5,146
306,0,247485,2,297.8,308.4,2129,19.2,148
307,0,247486,2,297.8,308.4,1374,47.1,150
308,0,115167,1,297.8,308.4,1579,36.6,152
309,0,247488,2,297.9,308.5,1305,47.2,155
310,0,115169,1,297.9,308.5,1449,40.8,157
311,0,329724,3,298,308.6,1526,41.8,160
312,0,115171,1,298,308.6,1453,44.1,165
313,0,247492,2,297.9,308.6,1468,36,168
314,0,247493,2,298,308.6,1313,50.8,170
315,0,115174,1,297.9,308.5,1300,53,172
316,0,247495,2,297.9,308.4,1646,40.6,175
317,0,247496,2,297.8,308.4,1714,33.2,177
318,0,247497,2,297.8,308.4,1685,28.4,179
319,0,247498,2,297.8,308.4,1512,39.9,181
320,0,247499,2,297.8,308.4,1612,32.1,183
321,0,329734,3,297.8,308.4,1550,38.2,185
322,0,247501,2,297.8,308.4,1518,32.5,190
323,0,247502,2,297.8,308.5,1448,40,192
324,0,247503,2,297.8,308.5,1561,46.3,194
325,0,115184,1,297.8,308.5,1488,41.9,196
326,0,247505,2,297.8,308.5,1699,27.8,199
327,0,247506,2,297.7,308.5,1501,41.4,201
328,1,247507,2,297.7,308.5,1373,56.7,203
329,0,329742,3,297.6,308.4,1703,31.4,205
330,0,329743,3,297.7,308.5,1720,29.9,210
331,0,115190,1,297.6,308.4,1398,41.9,215
332,0,115191,1,297.6,308.4,1391,51.9,218
333,0,115192,1,297.6,308.3,1538,40.2,0
334,0,247513,2,297.5,308.2,1647,31.3,3
335,0,115194,1,297.5,308.1,1469,44.8,5
336,0,247515,2,297.4,308.1,1749,25.9,8
337,0,115196,1,297.6,308.2,1995,20.5,10
338,0,247517,2,297.6,308.3,1742,27.7,13
339,0,247518,2,297.5,308.2,1563,38.2,15
340,0,115199,1,297.5,308.2,1713,32.2,17
341,0,247520,2,297.4,308.1,1474,39.4,20
342,0,115201,1,297.4,308.2,1530,32.6,22
343,0,247522,2,297.4,308.2,1471,46.5,25
344,0,247523,2,297.5,308.3,1388,48.6,27
345,0,115204,1,297.5,308.2,2448,13.8,29
346,0,247525,2,297.5,308.3,1585,32.9,32
347,0,115206,1,297.5,308.3,1459,45.2,34
348,0,247527,2,297.5,308.3,1544,40.8,37
349,0,247528,2,297.6,308.3,1617,31.7,39
350,0,247529,2,297.6,308.3,1595,34.3,41
351,0,329764,3,297.6,308.3,1400,44.3,43
352,0,115211,1,297.6,308.4,1611,31,48
353,0,115212,1,297.6,308.4,1507,46,51
354,0,329767,3,297.5,308.3,1674,30,54
355,0,247534,2,297.6,308.3,1658,34.3,59
356,0,247535,2,297.6,308.3,1623,36.9,61
357,0,115216,1,297.6,308.4,1398,48.9,63
358,0,247537,2,297.6,308.4,1517,34.2,66
359,0,115218,1,297.6,308.3,1467,36.7,68
360,0,115219,1,297.6,308.3,1567,34.6,71
361,0,115220,1,297.5,308.3,1521,38.2,74
362,0,247541,2,297.5,308.3,1596,36.8,77
363,0,329776,3,297.6,308.3,1640,30.9,79
364,0,247543,2,297.6,308.3,1438,47.8,84
365,0,247544,2,297.6,308.4,1407,55.2,86
366,0,247545,2,297.6,308.4,1353,57.5,88
367,0,115226,1,297.6,308.5,1552,40.9,90
368,0,115227,1,297.6,308.4,1569,38.3,93
369,0,247548,2,297.5,308.4,1489,39.5,96
370,0,329783,3,297.5,308.4,1587,36.1,98
371,0,115230,1,297.5,308.3,1622,37.2,103
372,0,247551,2,297.5,308.4,1604,38.1,106
373,0,115232,1,297.4,308.3,1405,51.7,108
374,0,247553,2,297.4,308.3,1412,42,111
375,0,247554,2,297.4,308.3,1431,43,113
376,0,247555,2,297.4,308.2,1533,37.4,115
377,0,115236,1,297.4,308.2,1401,51.9,117
378,0,115237,1,297.4,308.2,1424,53.9,120
379,0,247558,2,297.3,308.2,1754,29.4,123
380,0,247559,2,297.3,308.2,1754,26.8,125
381,1,247560,2,297.5,308.3,2564,12.8,127
382,0,247561,2,297.5,308.5,1546,40.4,129
383,0,247562,2,297.5,308.5,1335,48,131
384,0,115243,1,297.5,308.6,1842,27,133
385,0,247564,2,297.5,308.5,1712,26.8,136
386,0,115245,1,297.6,308.6,1414,45.4,138
387,0,247566,2,297.6,308.7,1319,50.9,141
388,0,247567,2,297.7,308.7,1249,60.4,143
389,0,247568,2,297.6,308.7,1455,48.2,145
390,0,115249,1,297.6,308.7,1408,54.8,147
391,0,247570,2,297.6,308.7,1460,46.7,150
392,0,247571,2,297.6,308.6,1491,38.1,152
393,0,115252,1,297.6,308.5,1490,43.4,154
394,0,115253,1,297.5,308.4,1350,52.2,157
395,0,247574,2,297.5,308.4,1528,39.9,160
396,0,247575,2,297.4,308.3,1571,37.7,162
397,0,247576,2,297.4,308.3,1490,42.6,164
398,0,115257,1,297.4,308.3,1774,28.9,166
399,0,329812,3,297.4,308.3,1502,43.6,169
400,0,247579,2,297.4,308.4,1392,49.7,174
401,0,247580,2,297.4,308.5,2100,16.9,176
402,0,247581,2,297.5,308.5,1722,30.4,178
403,0,247582,2,297.4,308.6,1678,32.3,180
404,0,247583,2,297.3,308.6,1273,59.8,182
405,0,247584,2,297.3,308.6,1297,45.9,184
406,0,247585,2,297.3,308.5,1350,57.6,186
407,0,247586,2,297.4,308.6,1439,51.9,188
408,0,115267,1,297.4,308.5,1600,42.1,190
409,0,115268,1,297.4,308.6,1434,44.4,193
410,0,247589,2,297.4,308.6,1459,41.3,196
411,0,115270,1,297.5,308.6,1472,44.9,198
412,0,247591,2,297.5,308.7,1429,44.3,201
413,0,247592,2,297.5,308.6,1388,48.2,203
414,0,247593,2,297.4,308.4,1573,34.5,205
415,0,247594,2,297.4,308.4,1588,32.5,207
416,0,247595,2,297.5,308.4,1511,42.8,209
417,0,247596,2,297.4,308.5,1495,37.8,211
418,0,247597,2,297.4,308.4,1394,50.1,213
419,0,247598,2,297.4,308.4,2151,17.7,0
420,0,115279,1,297.3,308.3,1501,38.2,2
421,0,115280,1,297.3,308.3,1301,39.6,5
422,0,115281,1,297.3,308.3,1657,31.1,8
423,0,247602,2,297.3,308.3,1333,55.2,11
424,0,247603,2,297.3,308.3,1484,43.9,13
425,0,247604,2,297.3,308.4,1430,45.7,15
426,0,115285,1,297.3,308.4,1665,28.9,17
427,0,247606,2,297.4,308.5,1501,44.9,20
428,0,115287,1,297.5,308.5,1496,42.2,22
429,0,115288,1,297.6,308.6,1595,36.9,25
430,0,247609,2,297.5,308.6,1208,62.3,28
431,0,247610,2,297.5,308.6,1596,37.1,30
432,0,247611,2,297.5,308.5,1446,41.9,32
433,0,115292,1,297.6,308.5,1466,39.7,34
434,0,115293,1,297.6,308.5,1848,23.7,37
435,0,115294,1,297.5,308.5,1484,44.7,40
436,0,247615,2,297.4,308.3,1493,41.2,43
437,0,247616,2,297.3,308.3,1504,36.3,45
438,0,247617,2,297.3,308.3,1538,38.5,47
439,0,247618,2,297.4,308.4,1341,52.2,49
440,0,115299,1,297.4,308.3,1535,34.6,51
441,0,247620,2,297.4,308.5,1389,39.2,54
442,0,329855,3,297.5,308.5,1393,46.6,56
443,1,247622,2,297.4,308.5,1399,61.5,61
444,0,329857,3,297.4,308.5,1469,45.1,63
445,0,247624,2,297.4,308.4,1582,37.2,68
446,0,247625,2,297.5,308.6,1793,26.7,70
447,0,247626,2,297.5,308.6,1452,39,72
448,0,115307,1,297.6,308.7,1376,59.9,74
449,0,247628,2,297.5,308.6,1552,44.9,77
450,0,247629,2,297.6,308.7,1622,37.9,79
451,0,115310,1,297.6,308.7,1419,41.7,81
452,0,329865,3,297.5,308.6,1440,46.1,84
453,0,115312,1,297.4,308.6,1643,31,89
454,0,247633,2,297.4,308.7,1510,36.2,92
455,0,247634,2,297.4,308.7,1468,46.6,94
456,0,247635,2,297.4,308.7,1429,57.4,96
457,0,329870,3,297.3,308.7,1478,47.6,98
458,0,247637,2,297.4,308.6,1276,53.6,103
459,0,247638,2,297.3,308.6,1486,42.6,105
460,0,247639,2,297.4,308.6,1476,42.3,107
461,0,329874,3,297.3,308.6,1431,42,109
462,0,247641,2,297.4,308.7,1402,40.2,114
463,0,247642,2,297.4,308.7,1433,43.4,116
464,1,247643,2,297.4,308.7,2874,4.2,118
465,0,247644,2,297.3,308.6,1511,35.7,120
466,0,115325,1,297.3,308.6,1456,42.9,122
467,0,247646,2,297.2,308.5,1550,41.5,125
468,0,247647,2,297.2,308.5,2182,16.5,127
469,0,247648,2,297.3,308.7,1619,31.6,129
470,0,115329,1,297.3,308.8,1586,32.7,131
471,0,329884,3,297.3,308.8,1499,44.2,134
472,0,329885,3,297.3,308.8,1419,42.4,139
473,0,115332,1,297.4,309,1497,41.8,144
474,0,115333,1,297.4,309,1520,37,147
475,0,247654,2,297.4,309.1,1478,49.8,150
476,0,247655,2,297.4,309.1,1380,41.1,152
477,0,247656,2,297.4,309,1570,37.9,154
478,0,329891,3,297.4,309,1468,41.4,156
479,0,247658,2,297.4,309,1833,22.6,161
480,0,115339,1,297.4,308.9,1323,57.3,163
481,0,247660,2,297.4,309,1583,32,166
482,0,115341,1,297.3,309,1556,39.5,168
483,0,247662,2,297.3,309,1548,37.4,171
484,0,247663,2,297.4,309,1324,56.9,173
485,0,247664,2,297.4,309,1568,33.7,175
486,0,115345,1,297.4,309,1685,30.7,177
487,0,115346,1,297.4,309.1,1582,35.9,180
488,0,115347,1,297.4,309.1,1463,35,183
489,0,247668,2,297.4,309.2,1584,42.8,186
490,0,115349,1,297.5,309.2,1347,55.8,188
491,0,247670,2,297.4,309.2,1459,37.9,191
492,0,247671,2,297.4,309.2,1420,45.6,193
493,0,247672,2,297.5,309.3,1404,43.5,195
494,0,247673,2,297.5,309.3,1470,38.8,197
495,0,247674,2,297.6,309.4,1326,49.8,199
496,0,329909,3,297.5,309.3,1459,49.7,201
497,0,115356,1,297.5,309.2,1530,40,206
498,0,247677,2,297.4,309,1505,39.2,209
499,0,247678,2,297.5,309.1,1611,30.2,211
500,0,247679,2,297.5,309.1,1515,35.1,213
501,0,115360,1,297.5,309.2,1804,27.4,215
502,0,115361,1,297.6,309.3,1464,46.2,218
503,0,247682,2,297.6,309.2,1390,43.3,221
504,0,115363,1,297.6,309.2,1442,48.1,0
505,0,115364,1,297.6,309.3,1529,41.9,3
506,0,247685,2,297.6,309.3,1610,35,6
507,0,247686,2,297.6,309.3,1543,34.3,8
508,0,329921,3,297.8,309.4,1445,48.2,10
509,0,247688,2,297.7,309.3,1893,24.6,15
510,0,115369,1,297.6,309.3,1415,41.3,17
511,0,247690,2,297.5,309.3,1564,37.5,20
512,0,247691,2,297.5,309.3,1479,39.4,22
513,0,247692,2,297.5,309.2,1426,44.8,24
514,0,247693,2,297.4,309.2,1428,38.8,26
515,0,247694,2,297.4,309.2,1620,33.2,28
516,0,247695,2,297.5,309.2,1715,28,30
517,0,247696,2,297.5,309.3,1732,29.9,32
518,0,115377,1,297.5,309.4,1391,58.2,34
519,0,247698,2,297.6,309.5,1924,20.6,37
520,0,115379,1,297.7,309.5,2027,19.8,39
521,0,247700,2,297.6,309.5,1617,36.2,42
522,0,247701,2,297.5,309.4,1497,35.8,44
523,0,115382,1,297.5,309.5,1448,43.7,46
524,0,247703,2,297.4,309.4,1401,45.9,49
525,0,247704,2,297.4,309.4,1620,35.4,51
526,0,247705,2,297.4,309.4,1466,45.5,53
527,0,247706,2,297.6,309.5,1373,50.6,55
528,0,115387,1,297.6,309.6,1592,35.8,57
529,0,115388,1,297.5,309.5,1553,42.4,60
530,0,247709,2,297.6,309.5,1569,36.2,63
531,0,115390,1,297.6,309.5,1709,32.2,65
532,0,247711,2,297.6,309.5,1549,34.9,68
533,0,247712,2,297.5,309.4,1443,45.4,70
534,0,247713,2,297.5,309.3,1675,29.8,72
535,0,247714,2,297.5,309.3,1623,33.4,74
536,0,329949,3,297.4,309.3,1365,52.4,76
537,0,247716,2,297.4,309.3,1759,24.8,81
538,0,329951,3,297.4,309.3,1516,43,83
539,0,115398,1,297.4,309.3,1499,36.8,88
540,0,115399,1,297.4,309.3,1775,25.8,91
541,0,247720,2,297.4,309.4,1473,45.5,94
542,0,247721,2,297.4,309.4,1296,52.3,96
543,0,247722,2,297.5,309.4,1803,24.7,98
544,0,329957,3,297.5,309.3,1563,36.1,100
545,0,115404,1,297.5,309.4,1831,26.6,105
546,0,247725,2,297.6,309.4,1958,22.1,108
547,0,247726,2,297.5,309.4,1809,24.3,110
