NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,User_Score
5.89,5.04,3.12,0.59,14.64,0.01,0.01,0.01,0.01
4.99,5.73,0.65,2.42,13.79,83,21,921,5.3
8.25,4.26,0.07,1.12,13.69,83,73,2261,4.8
8.52,3.6,0.08,1.28,13.48,94,100,2702,6.3
4.12,6.77,0.39,2.08,13.36,97,66,2955,8.3
5.54,5.73,0.49,1.57,13.32,88,39,5237,3.2
6.99,4.51,0.3,1.3,13.1,97,56,667,8.5
5.2,4.19,2.7,0.94,13.04,85,73,633,8.2
6.64,2.56,2.66,1.01,12.87,93,81,1667,8.9
6,4.37,0.48,1.8,12.64,88,58,1095,6.4
2.5,3.45,5.33,0.86,12.13,86,57,243,8.6
7.97,2.81,0.13,1.21,12.12,94,86,4109,7.8
4.45,3.64,3.1,0.76,11.95,0.01,0.01,0.01,0.01
6.91,2.85,1.91,0.23,11.89,0.01,0.01,0.01,0.01
4.34,2.71,3.96,0.76,11.77,0.01,0.01,0.01,0.01
3.01,0.01,1.1,7.53,11.66,89,74,273,8.5
5.01,2.74,2.88,0.77,11.4,0.01,0.01,0.01,0.01
6.06,3.36,1.2,0.74,11.36,97,73,2159,8.9
6.16,2.04,2.69,0.29,11.18,0.01,0.01,0.01,0.01
6.77,3.07,0.14,1.03,11.01,98,86,2958,7.9
4.02,3.87,2.54,0.52,10.95,96,16,140,8.8
4.89,3.05,2.14,0.78,10.87,90,82,925,8.4
2.96,4.82,0.81,2.11,10.7,84,82,1115,7.5
4.99,3.64,0.38,1.6,10.6,94,67,2077,6.3
5.99,2.15,2.12,0.29,10.55,0.01,0.01,0.01,0.01
4.77,3.7,0.44,1.61,10.51,98,64,2849,7.5
4.34,2.65,3.15,0.35,10.49,0.01,0.01,0.01,0.01
5.01,3.07,1.25,0.97,10.31,0.01,0.01,0.01,0.01
6.75,2.58,0.04,0.91,10.28,73,29,2118,2.6
5.95,3.11,0,1.06,10.12,74,15,16,7.8
3.66,3.27,2.49,0.63,10.05,78,70,425,7.2
7.06,1.97,0.08,0.79,9.9,91,99,2053,7.9
5.55,1.94,2.23,0.15,9.87,0.01,0.01,0.01,0.01
6.68,2.3,0.04,0.74,9.77,87,87,3273,7
3.01,2.47,3.28,0.96,9.72,92,20,1297,9.2
3.88,3.42,1.69,0.5,9.49,93,23,135,9
5.8,2.85,0.01,0.78,9.44,74,24,24,7.3
4.1,3.63,0.38,1.26,9.37,71,10,1049,2.6
5.95,2.37,0.13,0.9,9.35,94,70,1322,8.4
2.08,2.43,4.43,0.4,9.34,88,70,628,8.7
4.36,1.71,3,0.23,9.3,0.01,0.01,0.01,0.01
5.76,2.7,0.02,0.82,9.3,0.01,0.01,0.01,0.01
0.9,6.75,0.09,1.33,9.07,85,41,442,4.9
4.4,1.85,1.98,0.68,8.91,72,27,85,7.8
5.08,2.8,0.1,0.86,8.84,96,89,3602,8.4
3.54,1.24,3.81,0.18,8.76,0.01,0.01,0.01,0.01
1.13,6.13,0.06,1.28,8.6,82,42,902,4.3
6.82,1.53,0.05,0.08,8.49,95,91,1224,8.2
1.75,3.48,2.49,0.67,8.39,68,42,55,7.5
3.74,2.25,1.58,0.71,8.28,62,41,191,6.3
3.11,3.56,0.22,1.32,8.21,0.01,0.01,0.01,0.01
1.07,5.01,0.13,1.97,8.17,88,37,350,6.5
5.8,2.01,0.13,0.15,8.09,0.01,0.01,0.01,0.01
2.79,1.72,3.15,0.41,8.08,0.01,0.01,0.01,0.01
2.91,2.07,2.73,0.33,8.05,92,53,1077,8.7
0.99,6.42,0,0.6,8.01,86,75,894,7.6
2.57,3.86,0.66,0.91,7.99,0.01,0.01,0.01,0.01
2.28,1.72,3.63,0.23,7.86,90,24,658,8.6
7.28,0.45,0,0.08,7.81,0.01,0.01,0.01,0.01
2.76,1.72,2.69,0.54,7.72,83,46,204,8.5
2.9,2.81,0.24,1.73,7.69,88,65,453,7.6
2.83,3.48,0.14,1.24,7.68,83,39,1446,5.7
3.3,1.4,2.44,0.48,7.62,0.01,0.01,0.01,0.01
4.1,1.89,1.45,0.16,7.6,0.01,0.01,0.01,0.01
3.78,2.17,1.31,0.31,7.58,0.01,0.01,0.01,0.01
3.58,2.36,0.98,0.62,7.54,97,87,1859,9.1
5.39,1.18,0.7,0.19,7.46,0.01,0.01,0.01,0.01
4.62,2.12,0.02,0.69,7.44,0.01,0.01,0.01,0.01
4.83,1.9,0,0.7,7.42,84,84,583,7.6
2.58,3.42,0.24,1.17,7.41,87,58,4258,6.5
4.47,2.11,0.06,0.69,7.33,84,57,2144,7.4
2.92,2.98,0.19,1.18,7.28,93,113,7238,7.9
3.17,2.25,1.29,0.52,7.23,88,82,1607,9.1
3.27,2.83,0.08,1.02,7.2,85,33,172,8.6
3.48,2.99,0,0.73,7.2,49,21,110,8
2.86,2.89,0.35,1.08,7.18,85,38,1762,7.5
3.27,2.22,1.4,0.29,7.16,96,15,371,9.1
3.74,2.14,0.6,0.68,7.16,95,73,1664,9
3.68,1.75,1.42,0.28,7.13,91,12,439,8.9
4.41,1.04,1.39,0.22,7.07,92,38,573,9.1
4.12,1.77,0.87,0.19,6.95,0.01,0.01,0.01,0.01
2.71,3.02,0.08,1.09,6.9,82,39,132,8.6
2.93,2.75,0.17,0.99,6.83,88,29,137,8.5
3.23,2.35,0.94,0.3,6.82,0.01,0.01,0.01,0.01
4.05,2.16,0,0.55,6.76,74,10,29,7.2
4.15,1.9,0.06,0.64,6.75,93,90,2746,7.7
2.77,2.75,0.19,1.03,6.74,92,97,3732,8.3
3.46,2.6,0,0.66,6.72,0.01,0.01,0.01,0.01
3.11,2.26,0.28,1.03,6.69,94,44,994,8.4
3.27,2.2,0.21,0.98,6.67,96,105,5226,8.8
0.84,4.3,0.11,1.4,6.65,0.01,0.01,0.01,0.01
1.66,2.75,1.6,0.62,6.63,74,45,27,7.4
3.74,0.93,1.69,0.14,6.51,0.01,0.01,0.01,0.01
2.8,2.53,0.17,1,6.51,95,73,2475,8.9
0.79,4.24,0.07,1.38,6.48,86,37,576,4.3
3.18,1.8,1.03,0.46,6.47,87,77,368,8.6
2.65,2.52,0.16,1.12,6.46,85,41,1314,6.9
4.98,1.3,0.08,0.07,6.43,97,68,1292,8.6
2.56,2.61,0.25,1,6.42,92,16,2530,6.4
2.57,1.58,2.06,0.21,6.41,76,28,223,9
3.64,1.2,1.49,0.07,6.4,85,46,610,8.8
2.55,1.56,1.29,0.99,6.39,0.01,0.01,0.01,0.01
3.71,1.97,0.09,0.58,6.35,95,96,2327,9
4.34,1.34,0.06,0.61,6.34,83,94,1166,7.1
4.01,1.26,0.87,0.17,6.31,92,61,444,8.6
0.09,6.22,0,0,6.31,93,57,2199,7.3
2.47,0.83,2.87,0.12,6.3,0.01,0.01,0.01,0.01
3.11,2.8,0.02,0.33,6.27,87,22,81,8
4.05,1.59,0.07,0.5,6.21,91,96,1510,7.8
3.92,1.73,0.03,0.51,6.19,73,51,95,7.4
3.54,1.88,0.07,0.6,6.09,94,88,2301,8.3
0.8,4.33,0.05,0.91,6.08,82,47,993,5.7
2.45,2.01,0.87,0.72,6.05,96,42,1035,8.7
4.47,1.2,0.16,0.19,6.03,0.01,0.01,0.01,0.01
3.18,1.83,0.78,0.24,6.03,94,20,934,9.4
2.63,1.71,0.83,0.82,5.99,94,82,3575,8.7
1.88,0,2.33,1.74,5.95,92,64,982,7.7
2.41,2.19,0.29,0.99,5.89,95,98,8039,9.1
2.8,1.98,0.17,0.87,5.82,95,85,5319,6.8
1.88,1.47,2.02,0.45,5.82,89,13,369,9.2
2.15,2.57,0.16,0.93,5.8,77,86,1208,3.5
0.63,0.67,4.35,0.15,5.78,87,65,202,8.8
2.26,1.89,1.36,0.23,5.74,89,8,102,8.9
2.93,2.32,0,0.49,5.74,97,14,774,7.9
2.5,2.07,0.16,0.93,5.66,76,95,5389,6.1
3.57,1.56,0,0.51,5.64,80,17,62,8.9
3.08,1.91,0.07,0.57,5.64,67,35,21,7.2
2.97,0.69,1.81,0.11,5.58,0.01,0.01,0.01,0.01
2.95,0.6,1.97,0.04,5.55,0.01,0.01,0.01,0.01
2.54,1.93,0.21,0.86,5.55,91,70,1212,8.6
3.28,1.64,0.07,0.56,5.54,81,77,1084,7.7
2.99,1.9,0.1,0.5,5.49,92,90,516,8
3.14,1.24,0.91,0.2,5.49,84,19,42,7.8
2.71,1.85,0.11,0.81,5.48,96,42,2174,8.6
0.47,0.55,4.13,0.34,5.48,81,48,124,8.7
2.62,1.64,0.99,0.23,5.47,93,24,108,8.3
3.21,1.11,0.95,0.2,5.46,0.01,0.01,0.01,0.01
3.18,1.24,0.94,0.09,5.45,0.01,0.01,0.01,0.01
2.07,2.29,0.24,0.82,5.42,66,22,161,7.1
2.1,2.42,0,0.89,5.41,0.01,0.01,0.01,0.01
2.73,1.83,0,0.83,5.4,85,45,410,7.6
0.99,2.23,1.91,0.25,5.39,71,52,156,7.6
2.18,0.96,2,0.2,5.34,0.01,0.01,0.01,0.01
1.75,1.21,1.87,0.51,5.34,83,83,2506,7.2
3.02,1.12,1.01,0.16,5.31,0.01,0.01,0.01,0.01
1.62,0.77,2.78,0.14,5.3,94,22,792,8.9
1.45,2.81,0.23,0.81,5.3,89,33,896,8.4
2.3,1.4,1.28,0.32,5.29,84,70,734,8.1
3.13,1.69,0.03,0.44,5.29,84,61,1204,6.8
1.92,1.08,2.11,0.17,5.29,85,45,404,6.6
3.24,1.55,0.01,0.48,5.28,81,53,900,5.4
3.33,0.79,1.09,0.06,5.27,0.01,0.01,0.01,0.01
3.12,1.55,0.08,0.52,5.27,90,82,1320,8.8
2.3,2.46,0.2,0.28,5.24,85,13,0.01,0.01
4.26,0.26,0.01,0.71,5.23,94,29,140,8.5
0.65,0.75,3.61,0.2,5.21,89,63,249,8.8
2.93,1.25,0.83,0.2,5.2,0.01,0.01,0.01,0.01
1.21,2.43,1.03,0.52,5.19,85,72,149,8.6
2.49,0.98,1.57,0.15,5.19,0.01,0.01,0.01,0.01
1.09,3.47,0.03,0.58,5.17,90,48,404,6.1
2.45,2.17,0,0.54,5.17,88,86,9643,4
2.1,0.74,2.2,0.11,5.15,0.01,0.01,0.01,0.01
1.98,2.23,0.13,0.8,5.13,68,30,100,7.6
2.71,0.61,1.7,0.11,5.13,0.01,0.01,0.01,0.01
3.22,1.69,0,0.2,5.12,0.01,0.01,0.01,0.01
3.81,0.63,0,0.68,5.12,92,69,113,8.5
3.59,1.08,0.05,0.38,5.1,80,88,608,6.5
1.63,2.45,0.44,0.57,5.09,0.01,0.01,0.01,0.01
1.96,1.41,1.08,0.64,5.09,84,76,671,7.5
1.85,1.8,0.95,0.48,5.08,90,57,418,8
0.61,3.28,0.06,1.12,5.07,89,51,233,8
3.4,1.3,0.15,0.22,5.07,0.01,0.01,0.01,0.01
2.04,2.12,0.07,0.83,5.06,0.01,0.01,0.01,0.01
2.05,1.16,1.11,0.73,5.05,91,8,268,9
1.7,1.99,0.16,1.19,5.03,86,50,152,8
3.42,1.38,0.02,0.2,5.02,92,18,69,9.2
2.79,1.89,0,0.33,5.01,0.01,0.01,0.01,0.01
3.36,1.36,0.07,0.21,5,0.01,0.01,0.01,0.01
3.49,0.01,0.01,1.48,4.98,82,24,47,8.2
3.05,1.17,0.29,0.46,4.98,68,34,47,7.1
3.4,0.99,0.09,0.45,4.94,93,84,1658,8.5
1.83,1.19,1.54,0.37,4.93,0.01,0.01,0.01,0.01
2.63,1.1,0.82,0.38,4.93,0.01,0.01,0.01,0.01
2.32,1.72,0.12,0.77,4.92,88,66,2332,8.1
3.98,0.26,0.01,0.66,4.91,88,29,121,8
2.91,0.99,0.89,0.1,4.88,0.01,0.01,0.01,0.01
0,0,4.87,0,4.87,0.01,0.01,0.01,0.01
2.58,1.69,0,0.59,4.85,93,82,3057,8.2
2.62,0.6,1.52,0.1,4.85,0.01,0.01,0.01,0.01
1.91,2,0.09,0.82,4.82,81,40,777,7.3
2.74,1.34,0.12,0.61,4.8,92,101,2647,8.7
2.13,1.79,0.09,0.79,4.8,86,78,1289,8.1
2.57,1.57,0.44,0.21,4.79,88,20,239,9
2.83,1.48,0,0.45,4.76,80,9,46,5.4
2.36,2.1,0.02,0.25,4.73,62,14,93,7.7
2.99,1.27,0.04,0.42,4.73,94,87,1477,8.7
1.73,2.19,0,0.79,4.7,0.01,0.01,0.01,0.01
3.05,1.41,0.02,0.2,4.68,98,19,301,7.7
1.94,1.95,0.08,0.7,4.67,82,32,78,8.2
2.29,1.97,0.13,0.24,4.63,91,13,149,8.6
1.83,1.12,1.32,0.36,4.62,73,50,120,7.6
1.82,1.39,1.12,0.29,4.62,86,74,461,8.4
1.62,2.13,0.14,0.73,4.62,0.01,0.01,0.01,0.01
2.86,1.29,0.03,0.42,4.61,84,101,2455,6.4
2.42,0.91,1.15,0.13,4.61,0.01,0.01,0.01,0.01
2.6,0.99,0.89,0.13,4.6,96,80,977,8.9
3.04,1.11,0,0.43,4.6,86,36,87,8.4
2.08,1.97,0.06,0.46,4.57,91,83,619,8.2
1.56,1.24,1.48,0.26,4.54,81,88,1189,8.5
1.87,1.96,0.22,0.48,4.53,0.01,0.01,0.01,0.01
4.18,0.26,0.01,0.08,4.53,91,30,78,7.9
3.19,0.91,0.01,0.42,4.53,85,69,167,7.9
2.18,1.38,0.63,0.32,4.51,0.01,0.01,0.01,0.01
4.21,0.24,0,0.05,4.5,0.01,0.01,0.01,0.01
3.63,0.24,0.01,0.61,4.49,84,29,39,8.2
2.71,1.51,0.03,0.23,4.48,76,25,42,7.9
2.18,1.23,0.73,0.34,4.47,93,83,1615,9
0.2,0.14,4.1,0.02,4.47,0.01,0.01,0.01,0.01
2.71,1.29,0.02,0.43,4.45,94,75,1007,8.9
2.52,1.11,0.46,0.33,4.42,77,61,473,7.9
2.66,1.29,0.01,0.46,4.41,97,34,298,7.5
0.1,2.39,1.05,0.86,4.39,86,19,33,8.9
2.83,1.03,0.13,0.4,4.39,94,90,1113,8.7
2.19,0.5,1.61,0.08,4.38,0.01,0.01,0.01,0.01
1.57,1.93,0.19,0.69,4.38,0.01,0.01,207,4.8
2.59,1.37,0.01,0.4,4.37,88,39,1759,6.2
2.03,1.79,0.08,0.47,4.37,82,36,138,9.1
2.64,1.33,0.01,0.39,4.36,56,37,32,8.3
1.74,1.72,0.14,0.75,4.35,86,70,718,8.1
3.03,0.91,0.26,0.13,4.34,0.01,0.01,0.01,0.01
2.2,0.58,1.38,0.17,4.33,87,64,778,9
2.79,1.13,0,0.4,4.32,0.01,0.01,221,4.9
4,0.26,0,0.05,4.31,0.01,0.01,0.01,0.01
0.58,3.02,0.04,0.64,4.28,0.01,0.01,110,4.5
2.51,1.24,0.11,0.41,4.27,89,95,2427,6.5
2.24,1.31,0.07,0.61,4.24,91,70,1130,8.9
3,1.11,0.05,0.07,4.24,79,10,6,7.3
1.46,0,0.83,1.93,4.23,91,68,968,9.3
0.93,2.89,0.01,0.4,4.22,84,41,436,4.2
1.41,2.01,0.1,0.7,4.22,80,39,620,7.5
2.45,1.01,0,0.75,4.21,85,59,109,8.7
1.7,2.27,0,0.23,4.21,0.01,0.01,0.01,0.01
0.78,2.55,0.04,0.84,4.21,80,32,47,7.8
0.88,2.3,0.2,0.83,4.2,80,32,22,7.5
2.25,1.47,0.04,0.43,4.2,80,77,570,7.2
1.28,1.82,0.57,0.52,4.19,80,67,120,7.1
0.85,2.78,0.02,0.53,4.18,0.01,0.01,0.01,0.01
3.38,0.44,0.31,0.04,4.17,0.01,0.01,0.01,0.01
2.03,1.04,0.58,0.52,4.17,94,61,331,7.3
2.04,0.48,1.57,0.07,4.16,0.01,0.01,0.01,0.01
3.79,0.27,0,0.11,4.16,0.01,0.01,0.01,0.01
3.36,0.21,0.01,0.56,4.14,95,25,65,7.7
1.07,2.22,0.23,0.62,4.14,92,79,10270,9.2
4.03,0,0.09,0,4.12,96,24,3179,9.1
1.65,0.61,1.76,0.09,4.12,0.01,0.01,0.01,0.01
0.71,2.48,0.03,0.89,4.11,0.01,0.01,0.01,0.01
1.42,0.51,2.1,0.07,4.1,0.01,0.01,0.01,0.01
1.4,1.93,0.11,0.65,4.09,80,80,3018,6.3
2.57,1.52,0,0,4.09,91,46,789,7.9
1.59,1.73,0.11,0.66,4.09,87,89,2715,7.6
2.32,0.04,0.04,1.67,4.07,93,70,718,8.9
1.15,2.18,0.1,0.63,4.06,85,83,1663,7.7
2.66,1.03,0.04,0.33,4.06,84,81,775,8.1
0.12,2.26,0.9,0.77,4.06,0.01,0.01,23,8.2
2.12,1.47,0.05,0.42,4.05,56,27,44,6
2.35,1.27,0.03,0.41,4.05,90,66,381,8.3
2.28,1.55,0.16,0.06,4.05,0.01,0.01,0.01,0.01
1.68,1.51,0.51,0.35,4.05,85,25,118,8.5
2.78,0.58,0.64,0.04,4.03,0.01,0.01,0.01,0.01
1.22,0.28,2.46,0.04,4.01,0.01,0.01,0.01,0.01
1.37,1.85,0.15,0.63,4,80,64,2234,7
1.2,2.09,0.08,0.63,3.99,70,40,2069,4.9
2.08,1.35,0,0.54,3.98,61,21,0.01,0.01
2.67,0.87,0.05,0.38,3.97,89,76,684,8.6
2.16,1.13,0.07,0.59,3.95,90,57,916,8
2.03,1.17,0.37,0.38,3.95,93,81,1972,7.9
0.9,1.76,0.92,0.37,3.94,84,65,73,8.8
1.16,2.16,0,0.6,3.92,94,32,9142,8.1
1.44,1.47,0.73,0.27,3.92,0.01,0.01,0.01,0.01
0.7,0.48,2.62,0.11,3.92,86,80,348,8.7
2.24,1.3,0.02,0.35,3.91,0.01,0.01,0.01,0.01
1.97,0.76,1.07,0.11,3.91,0.01,0.01,0.01,0.01
2.09,1.35,0.06,0.4,3.91,81,27,39,8.7
2.51,0.66,0.04,0.69,3.9,87,51,369,6.7
2.29,1.17,0.01,0.42,3.9,90,38,121,8.7
0.93,1.94,0.31,0.7,3.87,88,62,233,8.7
0.1,0,3.77,0,3.87,0.01,0.01,0.01,0.01
1.53,1.6,0.06,0.67,3.87,84,9,224,7.3
0.16,1.89,1.12,0.68,3.85,91,26,38,9.1
2.13,1.12,0.1,0.5,3.85,76,64,104,7.9
2.12,1.44,0.22,0.06,3.84,0.01,0.01,0.01,0.01
1.78,1.43,0.05,0.57,3.83,78,49,1570,3.7
2.21,0.96,0.54,0.13,3.83,0.01,0.01,0.01,0.01
0.86,1.56,1.05,0.35,3.83,59,22,4,4
1.05,1.91,0.41,0.42,3.79,68,33,39,6.9
1.82,1.24,0.47,0.25,3.77,0.01,0.01,0.01,0.01
2.23,0.47,0.81,0.26,3.77,0.01,0.01,0.01,0.01
2.4,1.01,0,0.36,3.76,77,60,65,7.5
2.03,1.56,0,0.17,3.76,79,21,30,7.7
1.4,1.39,0.1,0.86,3.74,0.01,0.01,0.01,0.01
1.37,2,0.14,0.22,3.73,64,11,43,7.5
1.33,1.69,0.13,0.57,3.72,88,36,846,8.1
1.12,1.87,0.27,0.45,3.72,0.01,0.01,0.01,0.01
1.3,0.77,1.54,0.11,3.72,0.01,0.01,0.01,0.01
1.95,0.86,0.59,0.31,3.72,85,56,423,7.9
1.93,1.58,0,0.19,3.71,91,15,210,8.8
0.58,2.48,0.04,0.59,3.7,81,27,56,7.6
1.49,0.73,1.38,0.1,3.7,0.01,0.01,0.01,0.01
0,0,3.67,0,3.67,0.01,0.01,0.01,0.01
2.13,1.18,0.01,0.35,3.67,94,27,129,8.5
1.58,1.59,0.08,0.41,3.66,67,15,14,6.9
1.65,1.21,0,0.79,3.65,74,34,31,8.4
1.87,1.13,0.55,0.1,3.65,0.01,0.01,0.01,0.01
2.53,0.81,0.06,0.24,3.65,82,42,83,7.9
2.08,1.09,0.15,0.33,3.64,90,35,314,8.7
2.23,0.68,0.66,0.06,3.63,0.01,0.01,0.01,0.01
0.05,0,0.64,2.93,3.63,82,10,38,7.9
2.08,0.83,0.46,0.25,3.62,96,38,1025,8.9
0.6,2.45,0.05,0.52,3.62,91,56,204,7.5
2.32,0.96,0,0.34,3.62,86,18,71,7.6
1.37,1.55,0.17,0.52,3.61,85,18,1586,6.9
1.93,1.22,0.03,0.44,3.61,82,36,143,8.7
2.05,1.4,0,0.16,3.61,0.01,0.01,0.01,0.01
2.02,1.17,0,0.42,3.61,64,23,32,7.7
2.38,0.67,0.46,0.1,3.6,78,34,162,8.6
1.89,1.39,0,0.31,3.59,0.01,0.01,10,6.2
2.18,1.02,0.03,0.37,3.59,84,30,268,9
1.6,1.49,0.1,0.39,3.58,70,39,9,8
2.01,1.35,0.06,0.16,3.58,0.01,0.01,0.01,0.01
1.57,1.79,0,0.2,3.56,0.01,0.01,0.01,0.01
2.25,0.98,0,0.33,3.56,78,18,315,3.2
2.32,0.9,0,0.33,3.56,72,59,1008,4.1
1.56,1.4,0.07,0.5,3.54,78,49,112,7.8
1.23,1.77,0.05,0.49,3.54,72,49,89,6.8
1.66,1.58,0.12,0.18,3.54,0.01,0.01,0.01,0.01
1.9,1.13,0.1,0.41,3.53,72,27,48,7.9
1.98,1.14,0.01,0.41,3.53,0.01,0.01,0.01,0.01
1.96,1.33,0,0.23,3.52,0.01,0.01,0.01,0.01
0.71,2.39,0.02,0.4,3.52,88,66,155,7.5
2.14,1.21,0.01,0.17,3.52,0.01,0.01,0.01,0.01
2.66,0.49,0.05,0.3,3.51,89,67,1309,7.9
1.17,0.5,1.75,0.08,3.51,0.01,0.01,0.01,0.01
2.11,0.93,0.12,0.34,3.5,83,91,526,7.5
1.64,0.38,1.42,0.06,3.5,0.01,0.01,0.01,0.01
2.85,0.38,0.03,0.24,3.5,89,81,700,8.3
1.31,1.42,0.27,0.5,3.5,80,14,580,5.8
0.59,2.36,0.04,0.51,3.49,84,20,76,6.4
2.15,1.02,0.02,0.31,3.49,79,21,546,5.6
2.21,0.95,0.02,0.31,3.49,92,78,1083,8.7
2.1,1.01,0.04,0.32,3.48,88,75,870,8.6
2.78,0.34,0,0.36,3.47,82,74,570,7.5
1.21,1.62,0.27,0.37,3.46,0.01,0.01,0.01,0.01
2.1,1.01,0.01,0.35,3.46,71,70,29,8.8
0.59,1.79,0.73,0.34,3.45,83,30,28,8.4
2.4,0.71,0.03,0.29,3.44,84,83,717,8.2
0,0,3.44,0,3.44,0.01,0.01,0.01,0.01
0.84,2.01,0.07,0.53,3.44,76,86,1341,6.8
1.55,1.27,0.33,0.29,3.44,79,23,126,8.3
2.14,0.97,0.01,0.32,3.44,87,38,470,8.1
1.1,1.36,0.49,0.48,3.43,93,86,3987,8.2
0.86,0,2.55,0.02,3.42,0.01,0.01,0.01,0.01
1.13,2.07,0,0.22,3.42,70,15,67,8
1.75,1.2,0.02,0.43,3.41,80,50,109,8.9
1.73,0.69,0.59,0.4,3.41,0.01,0.01,0.01,0.01
1.83,1.05,0.06,0.46,3.4,91,86,660,8.4
2.04,1.03,0,0.32,3.4,76,49,75,7.9
0.46,2.28,0.05,0.61,3.4,88,15,35,6.7
1.56,1.47,0.19,0.17,3.39,68,12,100,8.3
2.14,0.92,0,0.31,3.38,75,11,1736,5.5
0.29,0.23,2.8,0.05,3.37,0.01,0.01,0.01,0.01
1.01,1.12,0.81,0.42,3.37,82,102,2659,7.7
2.47,0.76,0,0.13,3.36,0.01,0.01,0.01,0.01
1.9,0.67,0.73,0.06,3.36,0.01,0.01,0.01,0.01
0.88,1.7,0.1,0.67,3.35,90,32,1046,8.5
1.63,1.53,0,0.18,3.34,0.01,0.01,0.01,0.01
0.13,0,3.18,0.02,3.33,0.01,0.01,0.01,0.01
0,0.99,2.32,0.02,3.33,0.01,0.01,0.01,0.01
1.45,1.29,0.12,0.46,3.33,77,20,66,8.5
1.44,1.01,0.57,0.3,3.33,0.01,0.01,0.01,0.01
1.47,1.39,0.03,0.43,3.32,60,34,82,7.2
1.4,0.91,0.74,0.26,3.31,87,75,231,7.8
1.99,1.05,0.05,0.22,3.31,80,21,87,8.4
1.98,1,0.03,0.3,3.31,85,69,1272,7.2
1.9,1.11,0.01,0.29,3.31,86,35,706,7.9
1.97,1.04,0,0.3,3.3,0.01,0.01,0.01,0.01
1.5,1.28,0.05,0.46,3.28,85,31,106,8.6
1.21,0.92,0.95,0.2,3.28,88,85,698,8.7
0.74,1.68,0.4,0.45,3.28,81,81,762,7.7
1.89,1.05,0.02,0.31,3.27,77,39,94,8
0.61,1.57,0.82,0.27,3.26,86,62,111,9.2
0.9,2.12,0,0.24,3.26,84,45,463,4.4
0.5,1.58,0.31,0.87,3.26,0.01,0.01,0.01,0.01
2.35,0.3,0,0.6,3.26,83,37,180,5.9
1.35,1.11,0.46,0.32,3.25,63,43,116,4.6
0.95,1.3,0.77,0.22,3.24,0.01,0.01,0.01,0.01
0.72,2.3,0,0.22,3.24,84,51,210,5.4
1.05,1.93,0,0.24,3.23,70,74,2075,3.9
1.72,1.33,0,0.16,3.21,0.01,0.01,0.01,0.01
0.73,0.1,2.35,0.02,3.2,0.01,0.01,0.01,0.01
1.76,1.21,0.07,0.16,3.2,0.01,0.01,0.01,0.01
2.26,0.72,0.12,0.1,3.2,0.01,0.01,0.01,0.01
0,0,3.19,0,3.19,0.01,0.01,0.01,0.01
1.48,1,0.04,0.66,3.18,91,79,566,8.6
1.28,1.29,0.12,0.5,3.18,89,78,1017,7.7
1.78,1.12,0.09,0.19,3.18,62,30,137,8.1
1.35,0.59,0.8,0.43,3.18,83,67,465,8
2.15,0.76,0.01,0.26,3.17,82,63,85,7.6
