ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
9269,C,Ship,3,1,170,3,high,F,6,5750
481,D,Ship,5,4,168,3,low,F,13,1317
5853,A,Ship,3,4,206,4,medium,M,2,4372
2953,D,Ship,3,3,162,3,low,M,3,1693
3658,B,Ship,3,2,265,6,low,M,9,5936
6166,B,Flight,5,5,267,3,medium,M,9,4775
6923,C,Ship,4,1,293,3,low,M,8,1326
840,F,Ship,5,2,151,6,medium,M,12,1920
9855,A,Road,3,3,274,3,low,F,5,5981
879,A,Ship,6,1,205,5,low,M,14,3213
5698,B,Ship,3,1,191,5,medium,M,2,4956
10446,F,Ship,5,5,239,6,low,M,9,1417
2606,F,Flight,3,5,258,3,low,M,21,3446
9452,F,Flight,5,3,228,5,high,M,9,1924
1529,C,Ship,4,5,146,4,low,F,25,1606
9078,F,Ship,3,2,247,2,high,M,1,4242
7766,F,Ship,5,3,257,5,low,M,7,1090
6724,B,Flight,5,4,99,2,high,F,4,4259
5154,F,Ship,3,4,162,2,medium,F,8,4972
7424,F,Ship,4,2,184,3,low,M,3,1705
1294,B,Ship,5,5,254,5,low,F,35,2508
112,B,Road,4,2,239,3,low,F,65,3679
7806,F,Flight,3,2,219,6,low,F,9,5263
4578,F,Ship,4,4,157,4,low,M,6,4175
3329,C,Ship,5,5,219,2,medium,M,4,4289
2569,D,Ship,4,2,141,2,low,F,8,1495
10236,F,Ship,4,3,199,2,low,M,4,5855
3020,F,Flight,4,5,253,2,low,F,36,3389
4029,A,Ship,4,1,261,3,medium,M,7,4314
8110,B,Ship,4,3,160,2,low,M,5,4522
107,C,Ship,3,1,238,3,low,M,17,2624
2985,A,Ship,3,3,273,6,low,M,6,1771
1336,B,Ship,4,2,256,2,medium,M,10,3128
441,A,Ship,3,5,251,2,high,M,23,2426
745,D,Ship,2,4,280,4,low,M,48,1463
9958,B,Ship,$7,4,282,4,low,M,6,1800
4500,F,Road,3,5,170,3,low,F,5,5064
2118,F,Ship,3,2,135,2,medium,F,2,1150
1206,F,Ship,3,3,218,3,medium,M,48,3425
209,C,Ship,2,4,152,3,low,M,55,1498
4977,A,Ship,4,5,261,3,high,F,2,4954
8818,B,Ship,6,3,137,8,low,F,6,5992
955,D,Flight,3,1,214,2,low,F,50,2720
9765,A,Ship,3,5,161,2,low,F,8,5021
5863,D,Ship,3,3,269,3,low,M,4,4309
293,C,Ship,4,3,211,4,medium,M,40,3106
6417,A,Road,4,3,143,4,medium,F,2,4919
10205,C,Ship,5,2,248,5,medium,F,1,1845
4257,A,Flight,3,1,166,2,low,F,10,5932
8887,D,Road,$7,3,305,4,medium,F,5,1198
8544,F,Ship,4,2,167,4,high,M,5,5250
6222,F,Ship,5,1,227,5,low,M,6,1667
1853,C,Ship,3,5,190,10,medium,F,27,2739
5751,A,Flight,5,4,250,4,medium,M,4,4531
2061,A,Flight,3,2,173,3,high,M,60,1582
8083,D,Flight,4,4,115,3,medium,M,7,4609
3251,C,Ship,4,1,181,2,low,F,3,5877
5962,B,Ship,6,1,249,4,medium,M,2,1326
9918,F,Ship,5,5,243,5,medium,M,2,1817
7611,A,Ship,3,4,173,3,low,F,8,5979
7628,F,Ship,5,5,223,3,low,M,5,4373
9738,F,Flight,3,2,210,3,low,F,9,4731
7794,F,Road,3,5,241,3,low,F,5,4861
1713,A,Ship,3,4,242,5,low,M,5,2307
4801,D,Flight,$7,1,291,4,low,M,2,1216
6365,C,Ship,2,4,221,3,low,F,3,4076
26,F,Ship,3,1,225,4,low,M,29,3496
901,D,Ship,5,5,253,6,medium,M,59,2627
1692,F,Ship,4,2,189,3,medium,M,6,3671
10589,C,Ship,4,1,193,3,low,F,3,5919
1189,D,Ship,4,5,143,8,low,M,38,1095
626,F,Ship,3,2,238,3,high,F,54,3142
4143,A,Ship,3,1,149,2,medium,F,7,4147
3216,F,Ship,3,1,196,3,low,M,10,4546
4390,B,Flight,3,3,201,2,medium,F,8,5032
9361,D,Ship,$7,2,244,4,medium,F,8,1477
5658,F,Ship,4,4,217,5,medium,M,6,5891
1143,A,Ship,6,3,269,2,high,M,43,2300
9937,D,Ship,4,5,251,6,low,F,1,1625
736,B,Ship,4,1,259,3,low,M,39,2427
6375,A,Ship,4,1,245,3,medium,F,5,4173
9320,F,Flight,4,1,189,3,medium,M,5,4133
3565,D,Flight,3,3,263,3,medium,F,9,5665
6011,C,Road,5,1,227,5,low,M,7,1620
4194,F,Ship,5,2,233,3,low,F,5,5756
10851,A,Ship,4,1,202,3,low,M,7,4788
1504,B,Flight,5,2,200,2,low,F,2,2075
1092,F,Flight,3,5,154,3,medium,M,46,1312
7261,D,Flight,4,5,184,4,medium,F,3,5430
2317,D,Road,5,5,234,2,high,M,50,3914
3799,D,Ship,5,1,241,3,high,M,8,5306
4188,F,Ship,4,4,206,3,medium,F,10,4262
10888,B,Ship,4,1,275,3,medium,F,7,5382
9378,F,Ship,3,1,154,3,low,M,5,4720
7324,B,Ship,5,1,151,6,medium,M,2,4529
2213,C,Ship,6,1,105,5,low,F,57,1784
2324,F,Road,3,4,164,3,low,M,5,1408
471,A,Ship,4,1,140,2,low,M,61,1770
2296,B,Ship,4,2,223,3,medium,F,56,3158
8947,D,Ship,4,3,236,3,low,M,1,4752
8317,D,Ship,6,5,263,4,low,M,10,1669
5991,A,Ship,3,2,153,3,medium,M,6,4056
10038,F,Ship,3,2,222,2,medium,M,1,4021
2151,A,Ship,4,3,214,2,low,M,57,2078
199,D,Ship,2,3,142,3,medium,F,38,7640
4849,D,Ship,3,1,175,3,medium,M,1,4872
9110,F,Ship,5,4,231,2,medium,F,7,5491
7575,A,Ship,3,5,270,3,medium,M,5,4843
8334,F,Road,4,1,262,6,low,M,1,1627
828,F,Flight,4,2,209,2,low,F,23,2533
8022,F,Ship,5,1,258,5,low,F,4,1032
8261,C,Ship,6,5,264,4,medium,F,9,1922
10542,F,Road,5,4,228,4,low,F,8,4831
4389,A,Flight,5,4,175,4,low,M,4,4505
6264,F,Ship,$7,2,276,4,low,M,9,1022
8810,F,Ship,3,1,203,10,medium,F,7,5917
561,A,Flight,3,1,185,2,medium,F,34,3299
5306,F,Ship,4,2,146,2,medium,M,4,4348
9687,A,Ship,5,5,218,5,medium,F,7,1692
442,B,Ship,5,3,190,3,high,M,45,2628
10281,A,Flight,5,3,167,3,low,M,9,5026
10869,A,Ship,4,4,219,3,medium,M,10,4947
1777,D,Flight,6,1,154,5,medium,M,19,1842
9664,B,Ship,5,2,172,2,low,F,2,1680
9316,B,Flight,5,4,260,4,low,M,4,5911
8706,F,Ship,3,1,204,3,medium,M,4,4619
8306,F,Ship,5,4,254,6,low,M,4,1850
5428,B,Ship,5,4,237,6,medium,M,2,4541
4470,F,Ship,4,4,135,2,low,F,10,4508
9577,D,Road,3,4,192,4,medium,M,3,4030
9133,D,Ship,4,5,251,5,medium,F,7,1381
1332,F,Ship,4,4,255,2,medium,M,29,2267
4058,F,Ship,2,1,166,3,medium,M,6,4280
9920,F,Ship,6,3,277,4,medium,M,6,1623
6027,A,Flight,4,1,270,5,medium,M,9,1280
4020,F,Ship,3,5,226,3,low,M,8,5203
9528,F,Ship,4,1,164,4,medium,M,3,5318
10518,F,Ship,5,5,141,3,low,M,4,4534
651,A,Ship,3,4,164,3,medium,M,13,1158
6101,C,Ship,4,3,163,3,low,F,7,4556
5190,F,Road,5,1,171,5,medium,F,8,4699
3128,F,Road,3,3,193,2,low,M,19,3097
5613,A,Flight,5,1,182,5,high,F,6,5398
7343,C,Ship,4,4,238,3,low,F,7,4709
7157,C,Ship,4,5,246,6,low,M,1,1400
39,A,Ship,5,1,215,4,low,F,56,3905
4028,F,Ship,4,5,249,2,medium,F,10,4562
1257,A,Ship,2,2,180,3,low,M,33,1217
7143,A,Ship,6,5,139,6,medium,F,10,1081
10647,A,Ship,3,2,159,2,medium,M,8,4326
5410,B,Ship,5,5,186,4,medium,F,9,5592
9342,F,Ship,6,1,141,3,low,F,2,5144
2913,A,Ship,3,2,182,3,low,F,54,3972
3993,A,Ship,5,4,178,5,low,F,9,4729
4072,B,Ship,3,3,228,3,medium,F,8,4927
2378,F,Ship,3,2,167,4,medium,M,49,1973
3686,F,Road,4,2,262,2,medium,M,3,4090
5951,C,Ship,4,4,184,8,low,M,7,5235
4666,B,Flight,3,4,184,4,medium,M,2,4052
8735,C,Ship,3,2,186,2,medium,M,3,5712
1546,B,Ship,4,3,251,3,medium,F,46,2632
3039,A,Ship,4,3,276,4,low,F,3,3889
6825,A,Road,5,3,240,6,medium,F,3,1321
10211,C,Ship,5,5,270,5,low,M,5,1852
10690,B,Flight,4,1,260,3,medium,M,6,4816
811,D,Road,5,3,216,3,medium,F,1,2434
7653,A,Road,3,1,164,10,medium,F,6,5603
8015,C,Ship,4,1,263,5,low,M,8,1426
1612,B,Ship,3,5,153,2,low,F,44,1585
10102,B,Ship,4,3,203,2,low,M,8,5597
902,F,Ship,5,3,208,3,medium,M,35,3884
7840,B,Ship,3,4,273,2,medium,F,5,5223
8990,F,Ship,4,4,174,2,low,F,1,4541
7871,C,Ship,5,4,223,3,low,M,7,4671
5840,F,Ship,3,5,147,4,high,M,10,5164
50,F,Ship,5,3,216,3,low,F,40,2146
2786,F,Ship,5,3,149,7,medium,F,51,1425
1669,D,Ship,3,5,223,4,low,F,46,3938
10486,B,Ship,4,2,259,6,medium,M,8,1096
2731,D,Road,3,4,144,3,low,M,56,1496
8859,A,Ship,4,5,234,5,low,F,3,1469
2508,F,Ship,3,1,183,2,low,M,58,3027
8595,A,Ship,2,4,245,2,medium,F,10,5389
4739,C,Ship,3,5,244,2,medium,F,10,4064
4262,F,Flight,5,1,171,4,medium,F,9,4418
5412,F,Ship,4,4,246,3,low,M,2,5473
9192,F,Flight,6,3,266,4,low,F,9,1106
2293,D,Ship,3,5,268,4,high,M,5,3446
6694,B,Road,3,5,213,4,medium,M,9,5550
5258,F,Ship,6,1,275,4,low,F,5,1228
9967,D,Ship,6,5,310,4,medium,F,10,1553
4761,A,Ship,6,5,290,4,medium,M,2,1867
6573,A,Flight,$7,5,302,4,low,M,3,1597
5061,A,Road,5,1,135,3,low,M,3,4939
5789,C,Ship,5,3,220,6,medium,F,6,1830
3808,B,Ship,3,4,172,6,medium,F,1,4618
3989,C,Flight,3,1,155,3,medium,F,6,5113
6227,C,Ship,4,4,227,5,low,M,8,1982
8068,B,Road,3,1,225,2,low,F,2,4438
10803,A,Road,4,5,229,5,low,F,3,1954
3096,F,Ship,4,4,179,2,low,M,18,1369
1037,C,Ship,4,3,261,2,high,M,47,2336
125,C,Road,5,5,222,3,low,M,10,2280
3473,C,Ship,5,4,134,3,medium,M,4,4908
6146,F,Road,3,5,193,3,medium,F,6,5302
6741,A,Ship,6,3,210,4,medium,M,9,5440
1508,F,Flight,4,1,135,2,medium,F,64,1471
3624,F,Ship,3,3,155,3,low,F,3,5768
10711,D,Ship,4,2,262,6,medium,F,2,1069
9480,F,Ship,4,3,250,2,high,F,10,4885
2668,B,Ship,5,3,162,4,medium,M,38,1407
2277,A,Ship,3,4,209,2,low,M,62,2935
5837,C,Ship,4,2,168,3,low,M,3,4653
2702,F,Ship,3,2,132,2,medium,M,6,1185
3118,B,Ship,4,3,142,4,low,M,29,1420
10904,F,Ship,3,5,241,4,low,F,9,5526
8803,D,Ship,3,3,211,3,medium,M,3,5379
2854,B,Road,4,4,158,3,low,F,61,1507
4164,F,Ship,2,5,221,3,low,M,2,5847
5041,D,Ship,$7,3,310,4,medium,F,7,1989
2790,F,Ship,5,2,263,2,medium,F,51,1657
3017,C,Flight,5,5,195,3,low,M,55,2641
6194,F,Ship,4,4,133,4,high,F,10,5296
7616,F,Ship,4,4,175,3,low,M,8,5944
8354,F,Flight,6,1,272,4,low,F,2,1018
8553,A,Ship,4,4,228,5,low,F,1,1788
3884,F,Ship,3,4,238,3,medium,F,8,5337
5191,D,Road,4,4,231,2,low,F,4,5825
2990,F,Road,5,1,206,4,low,M,62,1137
8671,D,Ship,3,1,159,3,low,M,10,4784
9860,F,Flight,4,4,160,4,low,M,1,5520
5883,A,Road,3,5,246,3,low,F,2,5556
10272,F,Flight,3,3,220,3,low,F,2,5065
1313,C,Ship,2,2,139,3,medium,F,23,1283
4375,D,Road,6,1,246,3,medium,M,7,4733
4004,F,Ship,2,2,158,3,medium,F,2,4153
3475,D,Ship,2,2,161,5,medium,M,3,4138
5527,D,Ship,6,5,252,4,low,F,9,1460
7787,C,Road,5,4,222,3,low,M,1,4834
9968,F,Ship,5,4,266,2,medium,M,1,5494
9183,A,Flight,6,3,266,4,medium,F,8,1547
2049,A,Road,3,2,185,2,high,F,49,3864
4793,C,Flight,5,3,272,2,low,F,4,5112
7248,F,Road,3,2,185,4,low,F,8,5545
2011,D,Ship,4,5,264,3,medium,M,57,3753
2301,A,Ship,4,1,251,3,low,F,33,2502
241,D,Ship,4,5,270,4,low,M,65,1818
9721,D,Road,4,2,147,3,low,M,3,4152
1050,F,Ship,6,5,237,5,high,F,63,2573
7886,F,Ship,4,1,139,3,low,F,7,5317
486,F,Ship,5,5,263,8,medium,F,9,2236
5296,B,Ship,3,4,169,3,low,F,4,5716
3680,F,Road,4,3,240,2,medium,F,2,5588
5330,F,Road,5,1,234,3,high,F,9,5548
10165,D,Ship,4,3,147,2,low,M,2,5431
4043,C,Ship,2,3,187,3,medium,F,6,5547
8503,D,Flight,5,1,179,2,high,M,8,5301
2698,B,Ship,3,5,272,2,medium,M,31,2438
202,B,Ship,2,3,160,3,low,F,43,1251
6312,F,Flight,6,5,269,4,low,M,9,1826
1444,B,Ship,5,3,184,4,medium,F,2,3798
9863,C,Flight,4,5,171,2,medium,F,1,4439
8253,A,Ship,5,2,158,3,low,M,4,4324
185,C,Ship,3,3,146,2,low,M,50,1486
1784,F,Flight,5,4,206,3,low,M,53,2182
7084,B,Ship,5,1,198,4,low,F,5,5719
7842,F,Ship,2,2,201,3,high,M,2,4865
10621,D,Ship,4,3,156,3,medium,F,8,4701
2777,C,Ship,3,3,192,7,high,F,36,3634
4667,C,Flight,3,5,202,3,low,M,2,5208
2609,C,Flight,5,1,265,3,medium,M,6,2452
3056,F,Ship,4,2,247,5,medium,F,17,3630
4716,F,Ship,3,3,204,4,high,M,9,4712
10235,C,Ship,5,5,226,4,low,F,10,5676
7912,B,Ship,3,3,239,3,medium,M,7,4942
9959,C,Ship,5,2,250,6,low,M,1,1296
1520,F,Flight,3,3,172,4,low,F,33,1989
10259,C,Road,3,3,155,3,medium,M,5,4957
7892,F,Ship,4,4,166,2,low,M,8,5192
6004,B,Road,6,5,295,4,medium,M,2,1981
10632,F,Ship,4,2,230,3,high,F,5,5888
5517,A,Ship,6,2,290,4,medium,M,2,1070
3362,F,Ship,5,2,250,3,medium,F,6,5298
530,F,Road,6,1,243,4,high,F,22,3537
5891,C,Flight,3,4,138,2,medium,F,8,4837
3240,F,Ship,4,2,145,3,medium,F,4,5122
8042,F,Ship,6,2,272,5,low,M,8,1045
320,F,Ship,4,5,213,4,low,M,39,2381
4463,C,Ship,5,4,182,3,medium,F,7,5677
4812,F,Flight,6,5,245,4,low,F,8,1403
10820,F,Flight,4,4,249,3,medium,F,4,5809
7598,F,Ship,5,4,201,3,low,F,5,5137
1312,B,Ship,3,4,161,3,low,F,25,1048
2220,F,Ship,6,5,240,4,medium,M,62,2400
10992,F,Ship,5,2,261,5,medium,M,9,1227
10082,F,Ship,3,2,215,2,low,F,7,4305
9772,B,Ship,3,5,211,2,low,F,5,5877
7561,D,Ship,2,2,169,3,medium,F,4,5485
4098,F,Road,6,1,139,5,medium,M,1,4243
5779,D,Ship,4,2,243,5,medium,F,8,1922
6323,C,Ship,3,3,176,3,low,F,1,5168
9708,F,Road,5,2,249,6,low,M,8,1170
8686,B,Ship,2,4,102,4,medium,F,6,5421
3457,D,Ship,6,4,243,6,low,M,8,5218
2497,D,Ship,4,3,261,3,low,M,42,2664
10270,B,Road,4,1,194,2,medium,F,3,5503
543,A,Road,4,5,218,3,low,F,40,3200
10758,F,Ship,5,4,274,5,low,M,6,1969
3201,A,Ship,4,3,296,3,low,M,4,1991
10807,D,Road,5,3,242,5,low,M,3,1276
436,B,Ship,3,1,112,2,high,M,22,1846
1531,D,Ship,5,2,241,3,low,M,39,3743
10150,B,Flight,5,1,243,5,medium,M,8,1732
4497,A,Road,4,2,223,4,low,M,2,5709
10458,F,Ship,4,3,242,6,low,M,5,1411
7307,C,Ship,3,2,181,3,low,M,4,5966
4149,A,Ship,2,3,141,4,medium,M,8,4702
5615,C,Flight,3,2,257,5,low,M,5,4130
783,A,Ship,4,5,215,2,medium,F,34,2258
2226,F,Ship,3,1,147,2,medium,M,52,1934
994,B,Ship,4,3,210,3,medium,F,6,2568
9357,A,Ship,6,4,287,4,medium,M,7,1141
2734,B,Road,4,5,254,3,low,M,29,3885
6663,A,Ship,4,1,200,4,medium,M,3,5837
8312,F,Ship,4,1,237,5,low,F,5,1041
6447,A,Flight,3,1,154,2,low,F,10,5594
7572,F,Ship,4,1,191,3,low,M,2,5189
10884,F,Ship,3,4,181,4,medium,F,3,5163
9061,D,Ship,3,2,160,3,low,F,7,4468
3510,F,Ship,2,3,192,3,medium,F,8,5787
6560,F,Road,$7,1,250,4,low,M,9,1890
7216,B,Ship,6,2,254,5,low,M,7,1638
2212,B,Ship,4,2,204,3,medium,M,14,3829
1588,B,Ship,2,4,162,3,low,F,34,1558
7839,A,Ship,3,4,197,6,medium,M,3,4890
3241,D,Ship,2,5,117,3,high,F,2,4268
2887,D,Flight,3,1,231,4,medium,F,60,3755
1194,F,Ship,3,4,266,2,high,M,49,2643
9810,F,Ship,2,4,246,2,low,M,10,5337
2992,B,Road,5,3,239,5,medium,F,19,2988
466,B,Ship,3,2,294,4,low,F,15,1318
6733,D,Ship,4,5,162,3,medium,F,10,4850
4549,D,Ship,6,5,290,4,medium,F,3,1463
4312,B,Ship,5,4,165,4,medium,M,7,5091
2047,D,Road,5,2,262,6,medium,M,10,3164
10248,F,Ship,4,3,195,3,medium,M,5,5863
2095,D,Ship,3,5,272,10,medium,M,59,2182
10475,C,Ship,3,4,236,4,medium,M,2,1016
10986,F,Ship,5,1,229,5,low,F,10,1040
2795,C,Ship,2,1,159,2,low,F,44,1213
10221,A,Ship,4,3,245,5,low,M,7,1182
5875,D,Road,4,2,202,3,low,M,8,4575
58,B,Ship,3,3,193,3,medium,F,29,3453
6666,F,Ship,4,5,157,3,medium,M,2,5791
2373,A,Ship,2,3,129,3,low,M,50,1111
6669,A,Ship,4,4,236,2,medium,F,6,5101
9982,B,Road,4,2,219,4,low,M,8,5660
8300,F,Ship,5,1,103,5,low,M,3,4966
5054,F,Road,4,4,145,3,medium,F,3,5424
5123,C,Ship,4,5,176,4,medium,M,6,5061
4547,C,Ship,$7,1,291,4,low,F,9,1880
3916,B,Ship,3,4,250,3,low,M,10,5688
9646,B,Ship,5,4,176,6,medium,M,9,4605
3302,F,Flight,4,5,205,3,medium,M,5,4949
2585,C,Road,2,2,285,2,medium,F,16,2223
2724,F,Road,4,2,204,4,low,F,35,2725
5477,C,Flight,4,5,263,4,medium,F,7,4243
4902,F,Ship,4,3,164,2,low,M,3,5735
2856,F,Road,4,1,182,6,low,M,41,2047
1561,D,Ship,3,3,237,3,medium,M,57,3761
614,F,Ship,4,5,247,2,medium,F,18,2404
