day,Classes,Temperature, RH, Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI
17,fire   ,29,70,14,0,83,9,34,3,11,4
18,fire   ,31,68,14,0,85,12,43,5,14,6
19,fire   ,35,59,17,0,88,12,53,8,18,11
20,fire   ,33,65,15,0,81,12,62,3,17,4
21,fire   ,33,70,17,0,85,19,72,5,22,9
22,not fire   ,28,79,18,0,73,16,80,2,22,3
23,not fire   ,27,66,22,0,68,11,71,2,15,2
24,not fire   ,28,78,16,0,70,10,80,1,15,1
25,fire   ,31,65,18,0,84,13,89,5,19,7
26,fire   ,36,53,19,0,89,17,99,10,24,15
27,fire   ,36,48,13,0,90,22,109,9,29,15
28,fire   ,33,76,15,0,87,24,118,6,32,11
29,fire   ,32,73,15,0,87,27,127,6,35,12
30,fire   ,31,79,15,0,85,29,136,5,37,11
31,fire   ,35,64,17,0,87,32,146,7,41,16
1,not fire   ,36,45,14,0,79,5,10,2,5,1
2,not fire   ,35,55,12,0,78,6,10,2,6,1
3,not fire   ,35,63,14,0,77,6,10,2,6,1
4,fire   ,34,69,13,0,85,8,20,4,8,4
5,fire   ,34,65,13,0,87,11,30,5,12,6
6,fire   ,32,75,14,0,86,13,39,5,14,7
7,fire   ,32,69,16,0,87,16,49,6,17,8
8,not fire   ,32,60,18,0,77,11,47,2,14,3
9,fire   ,35,59,17,0,87,15,57,7,18,10
10,fire   ,35,55,14,0,89,19,67,7,22,12
11,fire   ,35,63,13,0,89,22,77,7,26,12
12,not fire   ,35,51,13,0,81,16,75,3,21,4
13,fire   ,35,63,15,0,87,19,85,6,24,10
14,fire   ,33,66,14,0,87,22,95,6,27,11
15,fire   ,36,55,13,0,82,16,93,4,22,6
16,fire   ,36,61,18,0,80,12,90,3,18,4
17,fire   ,37,52,18,0,89,16,101,10,23,15
18,fire   ,36,54,18,0,89,20,111,10,28,16
19,fire   ,35,62,19,0,89,23,121,10,31,17
20,fire   ,35,68,19,0,88,26,131,9,35,17
21,fire   ,36,58,19,0,89,30,141,9,39,18
22,fire   ,36,55,18,0,89,34,151,10,43,20
23,fire,36,53,16,0,90,38,162,10,48,22
24,fire   ,34,64,14,0,89,41,171,9,51,21
25,fire,35,60,15,0,89,44,181,8,55,20
26,fire ,31,78,18,0,86,46,191,5,57,14
27,fire,33,82,21,0,85,47,200,4,59,13
28,fire ,34,64,16,0,89,50,210,7,63,20
29,fire   ,35,48,18,0,90,54,220,13,67,30
30,not fire   ,35,70,17,1,73,25,180,2,37,4
31,not fire,28,80,21,17,53,9,9,1,8,0
1,not fire ,25,76,17,7,46,1,8,0,2,0
2,not fire,22,86,15,10,31,1,7,0,1,0
3,not fire   ,25,78,15,4,43,1,8,0,2,0
4,not fire   ,29,73,17,0,68,2,16,1,3,1
5,fire   ,29,75,16,0,81,3,24,3,5,2
6,not fire   ,29,74,19,0,76,4,32,2,6,1
7,not fire   ,31,71,17,0,70,3,30,2,5,1
8,not fire   ,30,73,17,1,62,3,8,1,3,0
9,not fire   ,30,77,15,1,56,2,8,1,3,0
10,not fire   ,33,73,12,2,60,2,9,1,3,0
11,not fire   ,30,77,21,2,59,2,8,1,2,0
12,not fire   ,29,88,13,0,71,3,17,1,4,1
13,not fire   ,25,86,21,5,41,1,8,0,2,0
14,not fire   ,22,76,26,8,47,1,7,0,2,0
15,not fire   ,24,82,15,0,45,1,7,0,1,0
16,not fire   ,30,65,14,0,78,3,16,2,4,1
17,fire   ,31,52,14,0,88,6,24,6,8,6
18,fire   ,32,49,11,0,89,10,33,7,11,8
19,fire   ,29,57,14,0,89,13,41,8,14,10
20,fire,28,84,18,0,84,14,49,5,16,6
21,fire   ,31,55,11,0,88,17,58,5,19,8
22,not fire   ,31,50,19,1,78,11,41,2,13,3
23,not fire   ,32,54,11,1,74,8,30,1,10,1
24,not fire   ,29,65,19,1,68,6,15,2,6,1
25,not fire   ,26,81,21,6,49,3,8,0,3,0
26,not fire   ,31,54,11,0,82,6,16,3,6,2
27,fire   ,31,66,11,0,86,8,25,4,9,4
28,not fire   ,32,47,14,1,78,7,9,2,7,1
29,not fire   ,26,80,16,2,47,3,8,0,3,0
30,not fire   ,25,78,14,1,45,2,8,0,2,0
1,not fire   ,32,71,12,1,57,3,8,1,3,0
2,not fire   ,30,73,13,4,56,3,8,1,3,0
3,not fire   ,29,80,14,2,49,2,8,0,3,0
4,not fire   ,30,64,14,0,79,5,15,2,6,1
5,not fire   ,32,60,14,0,77,6,18,2,7,1
6,fire   ,35,54,11,0,84,8,26,3,9,3
7,fire   ,35,44,17,0,86,10,29,5,11,6
8,not fire   ,28,51,17,1,71,8,7,2,7,1
9,not fire   ,27,59,18,0,78,9,15,2,8,2
10,fire   ,30,41,15,0,89,13,23,8,13,10
11,fire   ,31,42,21,0,91,18,31,13,18,17
12,fire   ,27,58,17,0,89,21,38,9,21,13
13,not fire   ,30,52,15,2,72,11,8,1,11,1
14,not fire   ,27,79,16,1,53,6,7,1,6,0
15,not fire   ,28,90,15,0,67,7,15,1,7,1
16,not fire   ,29,87,15,0,47,4,8,0,4,0
17,not fire   ,31,69,17,5,62,4,8,1,4,0
18,not fire   ,33,62,10,9,66,5,8,1,4,0
19,not fire   ,32,67,14,5,65,4,8,1,4,0
20,not fire   ,31,72,14,0,60,4,8,1,4,0
21,fire   ,32,55,14,0,86,8,18,5,8,5
22,not fire   ,33,46,14,1,78,8,8,2,8,1
23,not fire   ,33,59,16,1,74,7,8,2,7,1
24,fire   ,35,68,16,0,85,10,17,5,10,5
25,fire   ,34,70,16,0,86,13,26,5,13,7
26,fire   ,36,62,16,0,88,17,35,7,16,10
27,fire   ,36,55,15,0,89,21,43,8,21,12
28,fire   ,37,37,13,0,93,27,52,12,27,18
29,fire   ,37,36,13,1,86,18,37,5,18,7
30,not fire     ,34,42,15,2,80,12,9,2,12,2
1,not fire   ,28,58,18,2,64,3,9,1,3,1
2,fire   ,33,48,16,0,88,8,18,7,8,6
3,fire   ,34,56,17,0,85,10,27,5,10,5
4,fire   ,34,58,18,0,88,14,37,8,14,10
5,fire   ,34,45,18,0,91,19,46,11,19,15
6,fire   ,35,42,15,0,85,16,45,4,17,6
7,fire   ,38,43,13,1,85,13,35,4,14,5
8,fire   ,35,47,18,6,81,10,10,3,9,3
9,fire   ,36,43,15,2,82,9,10,3,9,3
10,not fire   ,34,51,16,4,78,8,10,2,8,1
11,not fire   ,34,56,15,3,75,7,10,2,7,1
12,fire   ,36,44,13,0,90,13,19,8,13,10
13,fire   ,39,45,13,1,85,11,10,4,11,5
14,fire   ,37,37,18,0,89,13,15,9,13,10
15,fire   ,34,45,17,0,91,18,24,11,18,14
16,fire   ,31,83,17,0,85,19,33,5,19,7
17,fire   ,32,81,17,0,85,21,42,5,21,8
18,fire   ,33,68,15,0,86,24,52,5,24,9
19,fire   ,34,58,16,0,88,28,61,7,28,13
20,fire   ,36,50,16,0,90,33,71,10,33,17
21,fire   ,36,29,18,0,94,40,81,19,40,30
22,fire   ,32,48,18,0,92,44,90,13,44,25
23,fire   ,31,71,17,0,87,47,99,7,47,16
24,not fire   ,33,63,17,1,73,21,57,2,22,3
25,not fire   ,39,64,9,1,74,12,16,1,11,1
26,not fire   ,35,58,10,0,78,11,20,2,11,1
27,not fire   ,29,87,18,0,80,12,28,3,12,3
28,fire   ,33,57,16,0,88,16,38,7,16,9
29,fire   ,34,59,16,0,88,20,47,7,20,11
30,fire   ,36,56,16,0,89,24,57,8,24,13
31,fire   ,37,55,15,0,89,28,67,8,28,15
1,not fire   ,38,52,14,0,78,4,11,2,4,1
2,fire   ,40,34,14,0,93,11,21,14,11,14
3,fire   ,39,33,17,0,94,17,32,17,17,20
4,fire   ,38,35,15,0,94,23,43,16,23,21
5,fire   ,34,42,17,0,88,24,53,19,24,13
6,not fire   ,30,54,14,3,71,11,9,1,11,1
7,not fire   ,34,63,13,3,70,7,10,1,7,1
8,fire   ,37,56,11,0,87,11,20,5,11,6
9,fire   ,39,43,12,0,92,17,31,10,16,13
10,fire   ,39,39,15,0,89,16,35,8,16,11
11,fire   ,40,31,15,0,94,23,46,17,22,22
12,fire   ,39,21,17,0,93,18,42,16,18,19
13,fire   ,35,34,16,0,88,17,45,8,18,11
14,fire   ,37,40,13,0,92,22,56,11,22,16
15,fire   ,35,46,13,0,84,17,54,4,19,6
16,fire   ,40,41,10,0,92,23,65,10,24,15
17,fire   ,42,24,9,0,96,30,76,16,30,24
18,fire   ,37,37,14,0,94,36,87,16,36,26
19,fire   ,35,66,15,0,83,33,97,3,36,8
20,fire   ,36,81,15,0,84,34,107,4,38,9
21,fire   ,36,71,15,0,86,37,117,5,41,12
22,fire   ,37,53,14,0,90,41,128,8,46,18
23,fire   ,36,43,16,0,91,46,138,12,50,25
24,fire   ,35,38,15,0,92,51,148,12,55,27
25,fire   ,34,40,18,0,92,56,158,14,60,31
26,fire   ,33,37,16,0,92,61,167,13,64,30
27,fire   ,36,54,14,0,91,66,177,10,68,26
28,not fire   ,35,56,14,0,79,37,166,2,31,6
29,fire   ,35,53,17,1,80,21,149,3,31,6
30,fire   ,34,49,15,0,89,25,159,8,36,16
31,fire   ,30,59,19,0,89,28,168,10,39,19
1,not fire   ,29,86,16,0,38,1,8,0,1,0
2,not fire   ,28,67,19,0,75,3,16,2,4,1
3,fire   ,28,75,16,0,82,4,24,3,6,3
4,not fire   ,30,66,15,0,74,4,27,2,6,1
5,not fire   ,30,58,12,4,66,4,8,1,4,0
6,not fire   ,34,71,14,7,65,3,9,1,4,0
7,fire   ,31,62,15,0,83,6,18,4,6,3
8,fire   ,30,88,14,0,83,7,26,3,8,3
9,fire   ,30,80,15,0,83,8,35,4,10,4
10,not fire   ,29,74,15,1,60,5,8,1,5,0
11,not fire   ,30,73,14,0,79,7,17,2,7,1
12,fire   ,31,72,14,0,84,8,25,4,9,4
13,fire   ,29,49,19,0,89,12,33,9,12,10
14,fire   ,28,81,15,0,85,13,42,4,14,6
15,fire   ,32,51,13,0,89,16,50,7,18,10
16,fire   ,33,26,13,0,94,21,59,14,22,19
17,fire   ,34,44,12,0,93,25,63,11,26,18
18,fire   ,36,33,13,0,91,26,78,9,28,15
19,fire   ,29,41,8,0,84,25,86,3,29,6
20,not fire   ,34,58,13,0,80,19,88,2,24,4
21,fire   ,35,34,17,0,92,24,97,14,29,22
22,fire   ,33,64,13,0,89,26,106,7,32,14
23,fire   ,35,56,14,0,89,29,116,8,36,15
24,not fire   ,26,49,6,2,61,12,28,1,12,0
25,not fire   ,28,70,15,0,80,14,36,2,14,3
26,fire   ,30,65,14,0,85,16,45,5,17,7
27,not fire   ,28,87,15,4,41,7,8,0,6,0
28,not fire   ,27,87,29,1,46,4,8,0,3,0
29,not fire   ,24,54,18,0,80,4,15,2,5,1
30,not fire    ,24,64,15,0,67,4,17,1,5,1
