UDI,Product,type,Air,Process,Rotationa2,Torque,Too2,Target
50,114909,1,298.9,309.2,1412,44.1,140,0
51,247230,2,298.9,309.1,2861,4.6,143,1
52,247231,2,298.9,309.1,1383,54.9,145,0
53,329466,3,298.8,309,1497,43.8,147,0
54,247233,2,298.7,309,1565,35.1,152,0
55,247234,2,298.7,309,1691,30.1,154,0
56,247235,2,298.8,309.1,1512,40.7,156,0
57,247236,2,298.8,309.1,1477,42.4,158,0
58,247237,2,298.8,309.1,1513,40.3,160,0
59,114918,1,298.8,309,1661,29.5,162,0
60,247239,2,298.8,309.1,1378,54.4,165,0
61,247240,2,298.8,309.1,1393,52.6,167,0
62,114921,1,298.8,309,1592,38.2,169,0
63,247242,2,298.8,309,1829,22.9,172,0
64,114923,1,298.9,309,1812,25.9,174,0
65,247244,2,299,309.1,1523,38.6,177,0
66,247245,2,299,309.1,1394,45.1,179,0
67,114926,1,298.9,308.9,1679,28.7,181,0
68,329481,3,298.8,308.9,1466,44.1,184,0
69,247248,2,298.8,308.9,1527,32.4,189,0
70,247249,2,298.9,309,1410,65.7,191,1
71,114930,1,298.9,309,1924,22.6,193,0
72,247251,2,298.9,309.1,1452,45.5,196,0
73,247252,2,298.9,309.1,1369,44.4,198,0
74,247253,2,299,309.1,1592,35,200,0
75,247254,2,298.9,309,1601,32.3,202,0
76,247255,2,298.8,308.9,1379,46.7,204,0
77,247256,2,298.8,308.9,1461,47.9,206,0
78,247257,2,298.8,308.9,1455,41.3,208,1
79,247258,2,298.8,308.9,1398,51.5,0,0
80,247259,2,298.8,308.9,1402,37.9,2,0
81,329494,3,298.8,308.8,1445,49.9,4,0
82,247261,2,298.9,308.9,1450,47.5,9,0
83,247262,2,298.9,308.9,1453,40.8,11,0
84,247263,2,299,309,1469,40.1,13,0
85,247264,2,298.9,308.9,1422,47.6,15,0
86,114945,1,299,309,1804,26.8,17,0
87,329500,3,299,309,1436,43.9,20,0
88,247267,2,299,309,1544,31.8,25,0
89,114948,1,299,309,1419,45.2,27,0
90,114949,1,298.9,308.9,1487,39.5,30,0
91,247270,2,298.9,308.9,1753,25.8,33,0
92,247271,2,298.9,308.9,1830,24.9,35,0
93,114952,1,298.9,308.9,1727,27.1,37,0
94,247273,2,299.1,309,1450,43,40,0
95,247274,2,299,308.9,1622,31.9,42,0
96,114955,1,299,309,1351,52.2,44,0
97,114956,1,299,309,1575,35.3,47,0
98,114957,1,298.9,308.9,1750,29.9,50,0
99,247278,2,298.9,308.8,1529,32.7,53,0
100,247279,2,298.8,308.8,1523,44.4,55,0
101,247280,2,298.8,308.9,1852,25,57,0
102,247281,2,298.8,308.8,1991,20.7,59,0
103,247282,2,298.8,308.8,1555,40.6,61,0
104,114963,1,298.8,308.8,1441,40.5,63,0
105,247284,2,298.8,308.7,1450,43.4,66,0
106,247285,2,298.8,308.7,1591,31.1,68,0
107,247286,2,298.8,308.7,1445,48.5,70,0
108,114967,1,298.8,308.8,1497,46.8,72,0
109,329522,3,298.9,308.8,1621,32.7,75,0
110,247289,2,298.9,308.7,1572,34.1,80,0
111,247290,2,298.8,308.6,1872,22.5,82,0
112,329525,3,298.7,308.6,1499,43.5,84,0
113,114972,1,298.8,308.7,1498,39.5,89,0
114,114973,1,298.8,308.6,1486,41.9,92,0
115,247294,2,298.8,308.6,1680,29.4,95,0
116,247295,2,298.8,308.6,1431,45.7,97,0
117,247296,2,298.9,308.7,1564,34.1,99,0
118,247297,2,298.8,308.6,1599,33,101,0
119,114978,1,298.8,308.6,1707,28.1,103,0
120,247299,2,298.7,308.5,1467,40.7,106,0
121,247300,2,298.9,308.7,1433,44.7,108,0
122,247301,2,298.9,308.7,1558,41.2,110,0
123,247302,2,299,308.8,1310,50.7,112,0
124,247303,2,298.9,308.7,1546,43.4,114,0
125,247304,2,298.9,308.7,1727,29.4,116,0
126,247305,2,298.9,308.6,1560,32.2,118,0
127,247306,2,299,308.6,1329,60.5,120,0
128,247307,2,298.9,308.6,1413,46.5,122,0
129,247308,2,299,308.6,1587,38.6,124,0
130,247309,2,298.9,308.5,1559,34.3,126,0
131,247310,2,298.8,308.4,1473,41.1,128,0
132,247311,2,298.8,308.4,1737,27.7,130,0
133,114992,1,298.7,308.4,1441,43.2,132,0
134,114993,1,298.7,308.4,1430,49.6,135,0
135,247314,2,298.8,308.4,1369,53,138,0
136,114995,1,298.8,308.5,1711,28.5,140,0
137,329550,3,298.7,308.5,1420,45.7,143,0
138,247317,2,298.7,308.6,1297,55.3,148,0
139,329552,3,298.8,308.6,1449,49.4,150,0
140,247319,2,298.8,308.6,1268,55.8,155,0
141,247320,2,298.8,308.6,1511,36.1,157,0
142,247321,2,298.7,308.5,1544,35.2,159,0
143,115002,1,298.6,308.4,1778,28.2,161,0
144,329557,3,298.6,308.4,1407,50.5,164,0
145,115004,1,298.6,308.4,1391,42.4,169,0
146,247325,2,298.5,308.4,1513,33.6,172,0
147,329560,3,298.5,308.4,1612,36.1,174,0
148,247327,2,298.4,308.4,1515,40.1,179,0
149,115008,1,298.3,308.3,1379,48,181,0
150,247329,2,298.4,308.3,1473,39.9,184,0
151,247330,2,298.4,308.3,1422,42.7,186,0
152,115011,1,298.4,308.2,1463,37.6,188,0
153,115012,1,298.4,308.2,1584,41,191,0
154,247333,2,298.4,308.2,1850,27,194,0
155,247334,2,298.4,308.2,1528,36.2,196,0
156,329569,3,298.4,308.2,1987,19.8,198,0
157,115016,1,298.4,308.1,1495,46,203,0
158,329571,3,298.4,308.2,1478,43.5,206,0
159,115018,1,298.4,308.2,1499,40,211,0
160,247339,2,298.4,308.2,1471,47,214,0
161,247340,2,298.4,308.2,1282,60.7,216,1
162,247341,2,298.3,308.1,1412,52.3,218,1
163,247342,2,298.3,308.1,1586,35.5,0,0
164,115023,1,298.4,308.2,1468,43.8,2,0
165,115024,1,298.5,308.3,1440,43.6,5,0
166,247345,2,298.5,308.4,1733,26,8,0
167,329580,3,298.4,308.2,1612,32.6,10,0
168,329581,3,298.4,308.3,1458,42.9,15,0
169,247348,2,298.4,308.3,1433,62.3,20,1
170,247349,2,298.4,308.3,1318,59.1,22,0
171,115030,1,298.4,308.2,1610,35,24,0
172,247351,2,298.2,308.1,1462,50.8,27,0
173,115032,1,298.1,308,1924,20.8,29,0
174,115033,1,298.2,308,1591,33.7,32,0
175,247354,2,298.2,308.1,1306,58.3,35,0
176,247355,2,298.2,308.1,1382,43.5,37,0
177,247356,2,298.2,308.1,1618,34.7,39,0
178,247357,2,298.2,308.2,1988,21.4,41,0
179,247358,2,298.2,308.2,1436,50.2,43,0
180,247359,2,298.2,308.3,1304,49.8,45,0
181,247360,2,298.2,308.3,1475,49.9,47,0
182,329595,3,298.2,308.3,1824,24.2,49,0
183,115042,1,298.1,308.2,1342,48.1,54,0
184,247363,2,298.1,308.2,1485,40.7,57,0
185,247364,2,298.2,308.2,1667,30.6,59,0
186,247365,2,298.2,308.2,1446,38.2,61,0
187,247366,2,298.1,308.3,1301,56,63,0
188,247367,2,298.2,308.4,1379,43.1,65,0
189,247368,2,298.3,308.5,1606,33.6,67,0
190,115049,1,298.3,308.4,1539,43.4,69,0
191,247370,2,298.2,308.4,1477,49.9,72,0
192,247371,2,298.2,308.4,1666,34.6,74,0
193,329606,3,298.2,308.4,1398,51.8,76,0
194,329607,3,298.2,308.4,1678,34.6,81,0
195,115054,1,298.2,308.5,2678,10.7,86,1
196,247375,2,298.3,308.5,1453,42.9,89,0
197,329610,3,298.3,308.6,1432,49.5,91,0
198,115057,1,298.4,308.6,1527,40.9,96,0
199,247378,2,298.4,308.7,1588,35,99,0
200,247379,2,298.4,308.6,1433,47.1,101,0
201,247380,2,298.4,308.6,1609,35,103,0
202,247381,2,298.3,308.5,1575,41.2,105,0
203,115062,1,298.4,308.5,1636,35.7,107,0
204,247383,2,298.4,308.5,1490,37.9,110,0
205,247384,2,298.4,308.5,1741,32.8,112,0
206,115065,1,298.5,308.6,1344,53,114,0
207,247386,2,298.5,308.7,1609,35.3,117,0
208,115067,1,298.4,308.7,1421,60.7,119,1
209,247388,2,298.4,308.6,1591,36.7,122,0
210,247389,2,298.4,308.6,1477,44,124,0
211,247390,2,298.4,308.7,1523,36.1,126,0
212,247391,2,298.5,308.7,1575,33.9,128,0
213,329626,3,298.4,308.7,1344,52.9,130,0
214,247393,2,298.4,308.7,1386,44.9,135,0
215,115074,1,298.3,308.6,1589,37.1,137,0
216,247395,2,298.3,308.6,1548,40.3,140,0
217,247396,2,298.3,308.6,1499,38.3,142,0
218,247397,2,298.3,308.5,1664,31.6,144,0
219,247398,2,298.3,308.6,1447,38.1,146,0
220,115079,1,298.3,308.5,1434,46.2,148,0
221,247400,2,298.3,308.5,1416,52.7,151,0
222,329635,3,298.4,308.5,1827,24.3,153,0
223,247402,2,298.4,308.6,1304,45,158,0
224,247403,2,298.4,308.6,1569,34.4,160,0
225,247404,2,298.3,308.6,1584,29.3,162,0
226,247405,2,298.3,308.5,1362,53.8,164,0
227,247406,2,298.3,308.4,1329,49.2,166,0
228,247407,2,298.3,308.5,1539,36.1,168,0
229,115088,1,298.3,308.5,1629,37.1,170,0
230,247409,2,298.3,308.5,1538,32.2,173,0
231,247410,2,298.3,308.6,1570,34.8,175,0
232,247411,2,298.3,308.4,1408,43.1,177,0
233,247412,2,298.2,308.4,1424,47.6,179,0
234,247413,2,298.2,308.4,1512,34.9,181,0
235,247414,2,298.2,308.4,1478,42.9,183,0
236,115095,1,298.1,308.3,1680,33.7,185,0
237,247416,2,298.1,308.3,1495,38.7,188,0
238,115097,1,298,308.1,1552,36.6,190,0
239,247418,2,297.9,308.1,1393,50.3,193,0
240,247419,2,298,308.2,1611,30.6,195,0
241,115100,1,298,308.1,1339,51.6,197,0
242,247421,2,298,308.1,1777,24.3,200,0
243,247422,2,298,308.2,1348,58.8,202,1
244,247423,2,298,308.2,1442,44.1,204,0
245,115104,1,298,308.2,1395,49.1,206,0
246,115105,1,297.9,308.1,1627,31.4,209,0
247,247426,2,297.9,308.1,1585,33.5,212,0
248,247427,2,298,308.2,1469,45.5,214,0
249,247428,2,298,308.3,1362,56.8,216,1
250,247429,2,298,308.3,1405,56.2,218,1
251,247430,2,298,308.3,1662,32.7,0,0
252,115111,1,298,308.2,1466,42.6,2,0
253,247432,2,298,308.2,1620,35.8,5,0
254,247433,2,298,308.2,1357,48.2,7,0
255,247434,2,298,308.2,1514,37.9,9,0
256,247435,2,298,308.2,1489,40.4,11,0
257,247436,2,298.1,308.3,1331,63,13,0
258,247437,2,298,308,1615,29.5,15,0
259,247438,2,298.1,308.2,1482,37.9,17,0
260,115119,1,298.1,308.2,1420,63.9,19,1
261,115120,1,298.2,308.3,1522,49.1,22,0
262,247441,2,298.1,308.2,1654,32.1,25,0
263,115122,1,298.1,308.2,1736,26.8,27,0
264,115123,1,298,308.1,1587,32.3,30,0
265,247444,2,298.1,308.2,1390,47.5,33,0
266,247445,2,298,308.1,1454,37.1,35,0
267,329680,3,298,308.1,1440,43.7,37,0
268,247447,2,297.9,308,1954,21.1,42,0
269,329682,3,297.9,308,1800,24.8,44,0
270,247449,2,298,308,1524,37,49,0
271,329684,3,298,308,1520,39.6,51,0
272,115131,1,298.1,308.1,1452,40.8,56,0
273,247452,2,298.1,308.1,1484,40.4,59,0
274,247453,2,298.1,308,1426,46,61,0
275,247454,2,298.1,308,1652,28.5,63,0
276,247455,2,298,308,1401,54.7,65,0
277,115136,1,298,307.9,1750,26.6,67,0
278,329691,3,298,308,1479,50.7,70,0
279,115138,1,298,308,1620,29.4,75,0
280,247459,2,298,308.1,1819,23.4,78,0
281,115140,1,298.1,308.1,1456,43.7,80,0
282,247461,2,298.1,308,1626,36.5,83,0
283,115142,1,298.1,308.1,1390,49.8,85,0
284,247463,2,298.2,308.2,1469,43,88,0
285,247464,2,298.2,308.3,2051,19.2,90,0
286,247465,2,298.2,308.3,1568,36,92,0
287,247466,2,298.2,308.3,1589,33.2,94,0
288,247467,2,298.2,308.3,1805,31.6,96,0
289,329702,3,298.2,308.4,1385,42.2,98,0
290,247469,2,298.1,308.4,1436,46.7,103,0
291,247470,2,298.1,308.4,1438,45.6,105,0
292,247471,2,298,308.3,1473,42.6,107,0
293,247472,2,298.1,308.4,1335,40.2,109,0
294,329707,3,298.1,308.5,1392,44.8,111,0
295,115154,1,298.1,308.5,1372,51.1,116,0
296,115155,1,298.1,308.6,1716,30.7,119,0
297,247476,2,298,308.5,1395,46.2,122,0
298,247477,2,298,308.5,1713,25.3,124,0
299,329712,3,297.9,308.5,2129,18.7,126,0
300,115159,1,297.8,308.3,1567,35.6,131,0
301,247480,2,297.8,308.4,1622,38.3,134,0
302,247481,2,297.7,308.4,1740,27.1,136,0
303,329716,3,297.8,308.4,1512,35.1,138,0
304,115163,1,297.8,308.4,1479,43.5,143,0
305,247484,2,297.8,308.4,1737,27.5,146,0
306,247485,2,297.8,308.4,2129,19.2,148,0
307,247486,2,297.8,308.4,1374,47.1,150,0
308,115167,1,297.8,308.4,1579,36.6,152,0
309,247488,2,297.9,308.5,1305,47.2,155,0
310,115169,1,297.9,308.5,1449,40.8,157,0
311,329724,3,298,308.6,1526,41.8,160,0
312,115171,1,298,308.6,1453,44.1,165,0
313,247492,2,297.9,308.6,1468,36,168,0
314,247493,2,298,308.6,1313,50.8,170,0
315,115174,1,297.9,308.5,1300,53,172,0
316,247495,2,297.9,308.4,1646,40.6,175,0
317,247496,2,297.8,308.4,1714,33.2,177,0
318,247497,2,297.8,308.4,1685,28.4,179,0
319,247498,2,297.8,308.4,1512,39.9,181,0
320,247499,2,297.8,308.4,1612,32.1,183,0
321,329734,3,297.8,308.4,1550,38.2,185,0
322,247501,2,297.8,308.4,1518,32.5,190,0
323,247502,2,297.8,308.5,1448,40,192,0
324,247503,2,297.8,308.5,1561,46.3,194,0
325,115184,1,297.8,308.5,1488,41.9,196,0
326,247505,2,297.8,308.5,1699,27.8,199,0
327,247506,2,297.7,308.5,1501,41.4,201,0
328,247507,2,297.7,308.5,1373,56.7,203,1
329,329742,3,297.6,308.4,1703,31.4,205,0
330,329743,3,297.7,308.5,1720,29.9,210,0
331,115190,1,297.6,308.4,1398,41.9,215,0
332,115191,1,297.6,308.4,1391,51.9,218,0
333,115192,1,297.6,308.3,1538,40.2,0,0
334,247513,2,297.5,308.2,1647,31.3,3,0
335,115194,1,297.5,308.1,1469,44.8,5,0
336,247515,2,297.4,308.1,1749,25.9,8,0
337,115196,1,297.6,308.2,1995,20.5,10,0
338,247517,2,297.6,308.3,1742,27.7,13,0
339,247518,2,297.5,308.2,1563,38.2,15,0
340,115199,1,297.5,308.2,1713,32.2,17,0
341,247520,2,297.4,308.1,1474,39.4,20,0
342,115201,1,297.4,308.2,1530,32.6,22,0
343,247522,2,297.4,308.2,1471,46.5,25,0
344,247523,2,297.5,308.3,1388,48.6,27,0
345,115204,1,297.5,308.2,2448,13.8,29,0
346,247525,2,297.5,308.3,1585,32.9,32,0
347,115206,1,297.5,308.3,1459,45.2,34,0
348,247527,2,297.5,308.3,1544,40.8,37,0
349,247528,2,297.6,308.3,1617,31.7,39,0
350,247529,2,297.6,308.3,1595,34.3,41,0
351,329764,3,297.6,308.3,1400,44.3,43,0
352,115211,1,297.6,308.4,1611,31,48,0
353,115212,1,297.6,308.4,1507,46,51,0
354,329767,3,297.5,308.3,1674,30,54,0
355,247534,2,297.6,308.3,1658,34.3,59,0
356,247535,2,297.6,308.3,1623,36.9,61,0
357,115216,1,297.6,308.4,1398,48.9,63,0
358,247537,2,297.6,308.4,1517,34.2,66,0
359,115218,1,297.6,308.3,1467,36.7,68,0
360,115219,1,297.6,308.3,1567,34.6,71,0
361,115220,1,297.5,308.3,1521,38.2,74,0
362,247541,2,297.5,308.3,1596,36.8,77,0
363,329776,3,297.6,308.3,1640,30.9,79,0
364,247543,2,297.6,308.3,1438,47.8,84,0
365,247544,2,297.6,308.4,1407,55.2,86,0
366,247545,2,297.6,308.4,1353,57.5,88,0
367,115226,1,297.6,308.5,1552,40.9,90,0
368,115227,1,297.6,308.4,1569,38.3,93,0
369,247548,2,297.5,308.4,1489,39.5,96,0
370,329783,3,297.5,308.4,1587,36.1,98,0
371,115230,1,297.5,308.3,1622,37.2,103,0
372,247551,2,297.5,308.4,1604,38.1,106,0
373,115232,1,297.4,308.3,1405,51.7,108,0
374,247553,2,297.4,308.3,1412,42,111,0
375,247554,2,297.4,308.3,1431,43,113,0
376,247555,2,297.4,308.2,1533,37.4,115,0
377,115236,1,297.4,308.2,1401,51.9,117,0
378,115237,1,297.4,308.2,1424,53.9,120,0
379,247558,2,297.3,308.2,1754,29.4,123,0
380,247559,2,297.3,308.2,1754,26.8,125,0
381,247560,2,297.5,308.3,2564,12.8,127,1
382,247561,2,297.5,308.5,1546,40.4,129,0
383,247562,2,297.5,308.5,1335,48,131,0
384,115243,1,297.5,308.6,1842,27,133,0
385,247564,2,297.5,308.5,1712,26.8,136,0
386,115245,1,297.6,308.6,1414,45.4,138,0
387,247566,2,297.6,308.7,1319,50.9,141,0
388,247567,2,297.7,308.7,1249,60.4,143,0
389,247568,2,297.6,308.7,1455,48.2,145,0
390,115249,1,297.6,308.7,1408,54.8,147,0
391,247570,2,297.6,308.7,1460,46.7,150,0
392,247571,2,297.6,308.6,1491,38.1,152,0
393,115252,1,297.6,308.5,1490,43.4,154,0
394,115253,1,297.5,308.4,1350,52.2,157,0
395,247574,2,297.5,308.4,1528,39.9,160,0
396,247575,2,297.4,308.3,1571,37.7,162,0
397,247576,2,297.4,308.3,1490,42.6,164,0
398,115257,1,297.4,308.3,1774,28.9,166,0
399,329812,3,297.4,308.3,1502,43.6,169,0
400,247579,2,297.4,308.4,1392,49.7,174,0
401,247580,2,297.4,308.5,2100,16.9,176,0
402,247581,2,297.5,308.5,1722,30.4,178,0
403,247582,2,297.4,308.6,1678,32.3,180,0
404,247583,2,297.3,308.6,1273,59.8,182,0
405,247584,2,297.3,308.6,1297,45.9,184,0
406,247585,2,297.3,308.5,1350,57.6,186,0
407,247586,2,297.4,308.6,1439,51.9,188,0
408,115267,1,297.4,308.5,1600,42.1,190,0
409,115268,1,297.4,308.6,1434,44.4,193,0
410,247589,2,297.4,308.6,1459,41.3,196,0
411,115270,1,297.5,308.6,1472,44.9,198,0
412,247591,2,297.5,308.7,1429,44.3,201,0
413,247592,2,297.5,308.6,1388,48.2,203,0
414,247593,2,297.4,308.4,1573,34.5,205,0
415,247594,2,297.4,308.4,1588,32.5,207,0
416,247595,2,297.5,308.4,1511,42.8,209,0
417,247596,2,297.4,308.5,1495,37.8,211,0
418,247597,2,297.4,308.4,1394,50.1,213,0
419,247598,2,297.4,308.4,2151,17.7,0,0
420,115279,1,297.3,308.3,1501,38.2,2,0
421,115280,1,297.3,308.3,1301,39.6,5,0
422,115281,1,297.3,308.3,1657,31.1,8,0
423,247602,2,297.3,308.3,1333,55.2,11,0
424,247603,2,297.3,308.3,1484,43.9,13,0
425,247604,2,297.3,308.4,1430,45.7,15,0
426,115285,1,297.3,308.4,1665,28.9,17,0
427,247606,2,297.4,308.5,1501,44.9,20,0
428,115287,1,297.5,308.5,1496,42.2,22,0
429,115288,1,297.6,308.6,1595,36.9,25,0
430,247609,2,297.5,308.6,1208,62.3,28,0
431,247610,2,297.5,308.6,1596,37.1,30,0
432,247611,2,297.5,308.5,1446,41.9,32,0
433,115292,1,297.6,308.5,1466,39.7,34,0
434,115293,1,297.6,308.5,1848,23.7,37,0
435,115294,1,297.5,308.5,1484,44.7,40,0
436,247615,2,297.4,308.3,1493,41.2,43,0
437,247616,2,297.3,308.3,1504,36.3,45,0
438,247617,2,297.3,308.3,1538,38.5,47,0
439,247618,2,297.4,308.4,1341,52.2,49,0
440,115299,1,297.4,308.3,1535,34.6,51,0
441,247620,2,297.4,308.5,1389,39.2,54,0
442,329855,3,297.5,308.5,1393,46.6,56,0
443,247622,2,297.4,308.5,1399,61.5,61,1
444,329857,3,297.4,308.5,1469,45.1,63,0
445,247624,2,297.4,308.4,1582,37.2,68,0
446,247625,2,297.5,308.6,1793,26.7,70,0
447,247626,2,297.5,308.6,1452,39,72,0
448,115307,1,297.6,308.7,1376,59.9,74,0
449,247628,2,297.5,308.6,1552,44.9,77,0
450,247629,2,297.6,308.7,1622,37.9,79,0
451,115310,1,297.6,308.7,1419,41.7,81,0
452,329865,3,297.5,308.6,1440,46.1,84,0
453,115312,1,297.4,308.6,1643,31,89,0
454,247633,2,297.4,308.7,1510,36.2,92,0
455,247634,2,297.4,308.7,1468,46.6,94,0
456,247635,2,297.4,308.7,1429,57.4,96,0
457,329870,3,297.3,308.7,1478,47.6,98,0
458,247637,2,297.4,308.6,1276,53.6,103,0
459,247638,2,297.3,308.6,1486,42.6,105,0
460,247639,2,297.4,308.6,1476,42.3,107,0
461,329874,3,297.3,308.6,1431,42,109,0
462,247641,2,297.4,308.7,1402,40.2,114,0
463,247642,2,297.4,308.7,1433,43.4,116,0
464,247643,2,297.4,308.7,2874,4.2,118,1
465,247644,2,297.3,308.6,1511,35.7,120,0
466,115325,1,297.3,308.6,1456,42.9,122,0
467,247646,2,297.2,308.5,1550,41.5,125,0
468,247647,2,297.2,308.5,2182,16.5,127,0
469,247648,2,297.3,308.7,1619,31.6,129,0
470,115329,1,297.3,308.8,1586,32.7,131,0
471,329884,3,297.3,308.8,1499,44.2,134,0
472,329885,3,297.3,308.8,1419,42.4,139,0
473,115332,1,297.4,309,1497,41.8,144,0
474,115333,1,297.4,309,1520,37,147,0
475,247654,2,297.4,309.1,1478,49.8,150,0
476,247655,2,297.4,309.1,1380,41.1,152,0
477,247656,2,297.4,309,1570,37.9,154,0
478,329891,3,297.4,309,1468,41.4,156,0
479,247658,2,297.4,309,1833,22.6,161,0
480,115339,1,297.4,308.9,1323,57.3,163,0
481,247660,2,297.4,309,1583,32,166,0
482,115341,1,297.3,309,1556,39.5,168,0
483,247662,2,297.3,309,1548,37.4,171,0
484,247663,2,297.4,309,1324,56.9,173,0
485,247664,2,297.4,309,1568,33.7,175,0
486,115345,1,297.4,309,1685,30.7,177,0
487,115346,1,297.4,309.1,1582,35.9,180,0
488,115347,1,297.4,309.1,1463,35,183,0
489,247668,2,297.4,309.2,1584,42.8,186,0
490,115349,1,297.5,309.2,1347,55.8,188,0
491,247670,2,297.4,309.2,1459,37.9,191,0
492,247671,2,297.4,309.2,1420,45.6,193,0
493,247672,2,297.5,309.3,1404,43.5,195,0
494,247673,2,297.5,309.3,1470,38.8,197,0
495,247674,2,297.6,309.4,1326,49.8,199,0
496,329909,3,297.5,309.3,1459,49.7,201,0
497,115356,1,297.5,309.2,1530,40,206,0
498,247677,2,297.4,309,1505,39.2,209,0
499,247678,2,297.5,309.1,1611,30.2,211,0
500,247679,2,297.5,309.1,1515,35.1,213,0
501,115360,1,297.5,309.2,1804,27.4,215,0
502,115361,1,297.6,309.3,1464,46.2,218,0
503,247682,2,297.6,309.2,1390,43.3,221,0
504,115363,1,297.6,309.2,1442,48.1,0,0
505,115364,1,297.6,309.3,1529,41.9,3,0
506,247685,2,297.6,309.3,1610,35,6,0
507,247686,2,297.6,309.3,1543,34.3,8,0
508,329921,3,297.8,309.4,1445,48.2,10,0
509,247688,2,297.7,309.3,1893,24.6,15,0
510,115369,1,297.6,309.3,1415,41.3,17,0
511,247690,2,297.5,309.3,1564,37.5,20,0
512,247691,2,297.5,309.3,1479,39.4,22,0
513,247692,2,297.5,309.2,1426,44.8,24,0
514,247693,2,297.4,309.2,1428,38.8,26,0
515,247694,2,297.4,309.2,1620,33.2,28,0
516,247695,2,297.5,309.2,1715,28,30,0
517,247696,2,297.5,309.3,1732,29.9,32,0
518,115377,1,297.5,309.4,1391,58.2,34,0
519,247698,2,297.6,309.5,1924,20.6,37,0
520,115379,1,297.7,309.5,2027,19.8,39,0
521,247700,2,297.6,309.5,1617,36.2,42,0
522,247701,2,297.5,309.4,1497,35.8,44,0
523,115382,1,297.5,309.5,1448,43.7,46,0
524,247703,2,297.4,309.4,1401,45.9,49,0
525,247704,2,297.4,309.4,1620,35.4,51,0
526,247705,2,297.4,309.4,1466,45.5,53,0
527,247706,2,297.6,309.5,1373,50.6,55,0
528,115387,1,297.6,309.6,1592,35.8,57,0
529,115388,1,297.5,309.5,1553,42.4,60,0
530,247709,2,297.6,309.5,1569,36.2,63,0
531,115390,1,297.6,309.5,1709,32.2,65,0
532,247711,2,297.6,309.5,1549,34.9,68,0
533,247712,2,297.5,309.4,1443,45.4,70,0
534,247713,2,297.5,309.3,1675,29.8,72,0
535,247714,2,297.5,309.3,1623,33.4,74,0
536,329949,3,297.4,309.3,1365,52.4,76,0
537,247716,2,297.4,309.3,1759,24.8,81,0
538,329951,3,297.4,309.3,1516,43,83,0
539,115398,1,297.4,309.3,1499,36.8,88,0
540,115399,1,297.4,309.3,1775,25.8,91,0
541,247720,2,297.4,309.4,1473,45.5,94,0
542,247721,2,297.4,309.4,1296,52.3,96,0
543,247722,2,297.5,309.4,1803,24.7,98,0
544,329957,3,297.5,309.3,1563,36.1,100,0
545,115404,1,297.5,309.4,1831,26.6,105,0
546,247725,2,297.6,309.4,1958,22.1,108,0
547,247726,2,297.5,309.4,1809,24.3,110,0
